Uniprot ID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81
Q9Y6Y8	4646	8227	16628	22134	22710	28812	35961	35720	37527	39878	37716	30265	25679	27632	21560	22781	27461	23116	27812	27909	24325	28119	23685	32093	22927	25675	26155	13903	19266	17458	13111	11453	13311	5076	4824	3665	9851	8620	5591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y6Y0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1783	440	2671	0	0	3083	2035	3431	2771	5361	6619	11577	10159	13495	21083	38408	66585	76250	54690	24291	16226	9370	3435	3352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1488	1065	1543	1547	1966	842	1522	1863	1407	0	0	0	0	0	0	0	0	0	0
Q9Y6X9	0	1162	3047	3583	3338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1647	2210	1908	0	3869	10351	12043	8842	12881	12172	10214	10958	12333	12969	11760	9841	2778	2535	1729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y6X8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2634	5858	5532	3120	0	0	12824	13575	8157	6540	7082	5112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y6X5	0	0	0	0	0	0	0	0	0	5122	8630	7439	7211	3286	3056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6200	17744	25480	27482	22080	6922	3387	1987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y6X4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4905	8659	11877	14366	30454	60800	102350	90682	63565	37373	20172	15194	5779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y6W5	0	0	1406	3343	2960	2331	2842	0	2918	2875	3217	2673	1724	1649	1643	203	6326	6292	4069	6793	9170	8436	8427	13365	13621	18997	27605	24284	36108	46291	66367	99636	137356	89239	60816	33007	21749	13244	6686	5776	4932	6169	5610	5852	5892	6412	0	0	5018	3959	4047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y6W3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5847	39510	104332	135599	98770	34389	11381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y6U3	0	0	0	0	0	0	0	0	0	0	0	0	0	2681	1629	2324	2582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1511	1912	2968	3247	2732	3350	11406	34762	87167	105058	60055	28621	5098	3269	3125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y6R4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3311	5258	3805	11864	15385	11603	7851	6176	4397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
