Uniprot ID	iBAQ D_CLPP_KO_02_01	iBAQ D_CLPP_KO_02_02	iBAQ D_CLPP_KO_02_03	iBAQ D_CLPP_KO_02_04	iBAQ D_CLPP_KO_02_05	iBAQ D_CLPP_KO_02_06	iBAQ D_CLPP_KO_02_07	iBAQ D_CLPP_KO_02_08	iBAQ D_CLPP_KO_02_09	iBAQ D_CLPP_KO_02_10	iBAQ D_CLPP_KO_02_11	iBAQ D_CLPP_KO_02_12	iBAQ D_CLPP_KO_02_13	iBAQ D_CLPP_KO_02_14	iBAQ D_CLPP_KO_02_15	iBAQ D_CLPP_KO_02_16	iBAQ D_CLPP_KO_02_17	iBAQ D_CLPP_KO_02_18	iBAQ D_CLPP_KO_02_19	iBAQ D_CLPP_KO_02_20	iBAQ D_CLPP_KO_02_21	iBAQ D_CLPP_KO_02_22	iBAQ D_CLPP_KO_02_23	iBAQ D_CLPP_KO_02_24	iBAQ D_CLPP_KO_02_25	iBAQ D_CLPP_KO_02_26	iBAQ D_CLPP_KO_02_27	iBAQ D_CLPP_KO_02_28	iBAQ D_CLPP_KO_02_29	iBAQ D_CLPP_KO_02_30	iBAQ D_CLPP_KO_02_31	iBAQ D_CLPP_KO_02_32	iBAQ D_CLPP_KO_02_33	iBAQ D_CLPP_KO_02_34	iBAQ D_CLPP_KO_02_35	iBAQ D_CLPP_KO_02_36	iBAQ D_CLPP_KO_02_37	iBAQ D_CLPP_KO_02_38	iBAQ D_CLPP_KO_02_39	iBAQ D_CLPP_KO_02_40	iBAQ D_CLPP_KO_02_41	iBAQ D_CLPP_KO_02_42	iBAQ D_CLPP_KO_02_43	iBAQ D_CLPP_KO_02_44	iBAQ D_CLPP_KO_02_45	iBAQ D_CLPP_KO_02_46	iBAQ D_CLPP_KO_02_47	iBAQ D_CLPP_KO_02_48	iBAQ D_CLPP_KO_02_49	iBAQ D_CLPP_KO_02_50	iBAQ D_CLPP_KO_02_51	iBAQ D_CLPP_KO_02_52	iBAQ D_CLPP_KO_02_53	iBAQ D_CLPP_KO_02_54	iBAQ D_CLPP_KO_02_55	iBAQ D_CLPP_KO_02_56	iBAQ D_CLPP_KO_02_57	iBAQ D_CLPP_KO_02_58	iBAQ D_CLPP_KO_02_59	iBAQ D_CLPP_KO_02_60
Q99L45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q62351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9EP89	0	0	9713.136237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17114.35575	0	0	0	0	0	1399.922583	0	0	0	0	0	0	0	0
O70456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q3TLP5	0	0	120919.1596	127216.8539	452996.8092	69228.91912	25195.06333	89572.12903	180787.2591	29795.46616	59560.92969	0	642641.9867	345573.117	244578.5592	320099.4578	0	0	26888.06872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3774044.757	0	0	0	0	0	30056917.62	0	0	5175453.185	0	5604.062144	0
UPI00000259BB	0	0	0	16118.55427	11687.16623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPI00001EF87C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9CQX8	0	0	587537.1615	2373636.417	2098612.335	2331632.739	1962171.816	2005318.451	1748153.076	1186161.008	1280826.44	955583.6749	702104.3364	450668.0338	242649.8189	362874.632	412921.8715	274995.5083	227234.1833	0	279681.633	220790.7619	131698.6749	0	49702.92363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40180.66125	0	42816.60635	0	290554.0136	1413095.165	1290813.029	141170.933	0	0	0
UPI0003D781E1	0	0	69428.93663	367575.0436	0	271366.6191	133114.5132	91319.42489	35214.5121	119903.3564	62399.7497	77095.32222	143298.2621	113879.9718	157013.7488	97838.56716	435166.6765	554734.2892	710376.4893	814699.91	1069093.614	83397.30262	94348.26153	319999.4491	140047.9775	149398.7963	90309.33644	142912.514	98338.61094	0	3585.171076	69470.36883	4683.981578	71750.5685	76226.67473	43642.39294	34521.59428	168714.7734	22171.94147	65225.71144	34204.42366	27502.40823	125122.3848	55090.53825	248236.0223	217804.7862	872504.9716	798041.3084	3646890.766	4159078.472	2526364.076	2565796.1	4289375.596	12026624.53	143955462.5	111608344.3	6019241.356	789297.6857	138996.4568	66548.68443
Q9D6T9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51135.90625	231948.8819	214290.1927	0	0	0	0
