Uniprot ID	iBAQ A_CLPP_WT_01_01	iBAQ A_CLPP_WT_01_02	iBAQ A_CLPP_WT_01_03	iBAQ A_CLPP_WT_01_04	iBAQ A_CLPP_WT_01_05	iBAQ A_CLPP_WT_01_06	iBAQ A_CLPP_WT_01_07	iBAQ A_CLPP_WT_01_08	iBAQ A_CLPP_WT_01_09	iBAQ A_CLPP_WT_01_10	iBAQ A_CLPP_WT_01_11	iBAQ A_CLPP_WT_01_12	iBAQ A_CLPP_WT_01_13	iBAQ A_CLPP_WT_01_14	iBAQ A_CLPP_WT_01_15	iBAQ A_CLPP_WT_01_16	iBAQ A_CLPP_WT_01_17	iBAQ A_CLPP_WT_01_18	iBAQ A_CLPP_WT_01_19	iBAQ A_CLPP_WT_01_20	iBAQ A_CLPP_WT_01_21	iBAQ A_CLPP_WT_01_22	iBAQ A_CLPP_WT_01_23	iBAQ A_CLPP_WT_01_24	iBAQ A_CLPP_WT_01_25	iBAQ A_CLPP_WT_01_26	iBAQ A_CLPP_WT_01_27	iBAQ A_CLPP_WT_01_28	iBAQ A_CLPP_WT_01_29	iBAQ A_CLPP_WT_01_30	iBAQ A_CLPP_WT_01_31	iBAQ A_CLPP_WT_01_32	iBAQ A_CLPP_WT_01_33	iBAQ A_CLPP_WT_01_34	iBAQ A_CLPP_WT_01_35	iBAQ A_CLPP_WT_01_36	iBAQ A_CLPP_WT_01_37	iBAQ A_CLPP_WT_01_38	iBAQ A_CLPP_WT_01_39	iBAQ A_CLPP_WT_01_40	iBAQ A_CLPP_WT_01_41	iBAQ A_CLPP_WT_01_42	iBAQ A_CLPP_WT_01_43	iBAQ A_CLPP_WT_01_44	iBAQ A_CLPP_WT_01_45	iBAQ A_CLPP_WT_01_46	iBAQ A_CLPP_WT_01_47	iBAQ A_CLPP_WT_01_48	iBAQ A_CLPP_WT_01_49	iBAQ A_CLPP_WT_01_50	iBAQ A_CLPP_WT_01_51	iBAQ A_CLPP_WT_01_52	iBAQ A_CLPP_WT_01_53	iBAQ A_CLPP_WT_01_54	iBAQ A_CLPP_WT_01_55	iBAQ A_CLPP_WT_01_56	iBAQ A_CLPP_WT_01_57	iBAQ A_CLPP_WT_01_58	iBAQ A_CLPP_WT_01_59	iBAQ A_CLPP_WT_01_60
Q99L45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q62351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9EP89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O70456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11951	0	0	0	0	0
Q3TLP5	0	0	127560	708180	2445100	102230	135430	47671	0	127060	547620	270950	186140	86562	111820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3190.8	0	16170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23011	6475700	0	0	0	0	0	0	0	0	0	0	0
UPI00000259BB	0	0	0	10388	0	10769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43520	0	0	0	0	0	0	0	0
UPI00001EF87C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9CQX8	0	0	191490	1722900	1657200	460340	2222900	1610900	1161900	1016700	779280	1014600	569900	527180	549180	321380	214370	302940	216680	145370	260170	211150	209040	89453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88784	38844	126240	175840	1338500	1835000	0	312130	0	0
UPI0003D781E1	0	0	60713	5280.7	311290	345610	215410	128850	109430	146610	83806	113840	139230	80479	59461	130280	319110	643180	361660	1198300	1514100	1974000	73233	34465	26387	241190	18557	45886	15995	5498.4	14427	59748	48269	44381	106600	108050	31427	37217	74072	25113	68244	0	23153	51883	265990	415620	450370	1442400	2118300	3992000	5165300	2476400	4936300	14153000	91336000	113630000	1830900	23331000	191750	81370
Q9D6T9	0	0	0	115400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76164	153750	240420	0	48509	0	0
