Uniprot ID	P631_1st_1	P631_1st_2	P631_1st_3	P631_1st_4	P631_1st_5	P631_1st_6	P631_1st_7	P631_1st_8	P631_1st_9	P631_1st_10	P631_1st_11	P631_1st_12	P631_1st_13	P631_1st_14	P631_1st_15	P631_1st_16	P631_1st_17	P631_1st_18	P631_1st_19	P631_1st_20	P631_1st_21	P631_1st_22	P631_1st_23	P631_1st_24	P631_1st_25	P631_1st_26	P631_1st_27	P631_1st_28	P631_1st_29	P631_1st_30	P631_1st_31	P631_1st_32	P631_1st_33	P631_1st_34	P631_1st_35	P631_1st_36	P631_1st_37	P631_1st_38	P631_1st_39	P631_1st_40	P631_1st_41	P631_1st_42	P631_1st_43	P631_1st_44	P631_1st_45	P631_1st_46	P631_1st_47	P631_1st_48	P631_1st_49	P631_1st_50	P631_1st_51	P631_1st_52	P631_1st_53	P631_1st_54	P631_1st_55	P631_1st_56	P631_1st_57	P631_1st_58	P631_1st_59	P631_1st_60	P631_1st_61	P631_1st_62	P631_1st_63	P631_1st_64	P631_1st_65	P631_1st_66	P631_1st_67	P631_1st_68
Q9Y6Y8	288956.1099	231164.8879	173373.6659	115582.444	57791.22198	0	0	0	0	0	461927.2298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1537546.053	0	0	0	582904.6905	0	3734508.659	10371273.24	8792173.86	5815666.184	6096453.308	4528691	2960928.693	0	263279.743	0	0	0	0	353082.3724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136399.0229	270273.6997	0	0	0	0
Q9Y6X6	0	0	0	0	0	0	0	81133.2715	0	733409.6921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	458188.4989	0	0	0	0	0	0	0	400915.6393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y6N5	0	0	0	0	0	0	0	0	0	594244.5706	2911881.041	3976070.03	7231532.008	9493697.518	11755863.03	22365425.54	26632976.03	49063056.32	42502623.7	23985898.33	11135458.59	399875.5412	1703511.972	0	192586.8072	0	200800.7709	0	0	0	0	0	0	0	0	3215083.684	3664124.942	4113166.2	0	0	237372.8679	0	0	0	0	0	0	0	0	1352858.369	0	0	0	0	0	0	101198.731	978029.5136	915454.9649	587402.4119	0	0	1256494.688	0	327591.5365	0	0	0
Q9Y6N1	0	0	0	0	0	0	266951.0081	975347.7472	741449.3691	181128.862	216565.2843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2424890.259	2900608.627	3376326.995	1367026.191	700463.883	529381.8061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y6M9	1519701.343	3382868.931	5246036.518	7109204.106	8972371.693	10835539.28	28637048.23	22166277.69	12495794.42	7736193.213	2527595.727	2234698.489	2123829.657	2071968.118	2020106.58	4094815.497	0	0	0	0	0	0	10100645.34	8061041.139	1259305.764	2282807.241	1271348.413	377606.1983	245564.3429	401899.5158	0	715250.1421	980143.4426	257067.2653	219955.4418	751743.5289	1162393.924	1573044.319	6000916.084	35638201.33	35487791.9	26730823.96	12325493.82	7751283.068	3645937.281	803011.9305	9460900.696	6453330.633	3445760.569	20700622.09	32780877.65	22351870.54	13044510.8	9638223.362	9758200.079	17618974.55	190049316.5	756154050.7	412849218.5	204952207.1	83186200.2	91881734.9	46523839.6	13383251.07	4090812.525	0	16464364.5	32928728.99
Q9Y6M7	2611731.227	2573864.911	2535998.595	2498132.279	2460265.962	2422399.646	1754167.559	1282339.72	3072326.007	311253.5636	841073.8976	4505277.55	2851161.803	1890887.044	930612.2859	2403020.089	4584094.495	2424980.214	4544924.963	2348012.957	317213.0445	306688.3764	194644.5148	634060.6491	329722.332	104611.3771	76433.15266	0	1744609.901	1400477.994	0	0	0	319326.9735	0	0	81422.81231	162845.6246	3334655.607	18475278.86	34448913.84	40109599.79	34847670.58	56098195.32	48340553.6	60869125.16	78037506.74	63961513.82	49885520.89	27907961.98	15324625.03	7752570.54	5037099.37	2435639.813	1854522.967	1776391.925	1086447.087	582747.2703	1500628.756	320710.0228	49246.11358	0	0	0	0	0	260193.1817	520386.3634
Q9Y6M5	33772844.48	27172969.09	20573093.69	13973218.3	7373342.914	773467.5232	853009.7257	363033.581	0	0	0	0	0	0	0	695685.0541	0	0	0	0	1152934.654	366035.81	0	0	0	0	436683.7686	0	182084.6278	162907.4683	0	0	3419274.612	33177278.7	117989905.6	221215872	167940727.7	114665583.5	70243838.27	12457057.79	10524836.69	4536047.586	2729329.775	3290234.986	2468327.003	1142331.275	597443.5749	645720.9917	693998.4086	187903.5549	162997.4227	321823.2089	0	0	0	0	0	0	227399.1707	0	0	384172.8715	178374.0077	145428.1986	285346.6885	72194.05026	1431402.64	2790611.229
Q9Y6M1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4311009.719	3266976.144	2183643.729	1891910.276	1811401.063	1561946.191	6000466.311	10306022.54	14003880.4	0	8075490.069	0	0	0	0	0	638845.1002	0	0	0	0	0	4783720.236	5902697.093	0	12693131.94	4900604.77	4718278.39	3803160.754	0	0	0	0	39854871.34	155980.9774	0	0	1304226.756	1507073.991	438522.2122	0	0	1189591.083	1727855.889	2438608.309	2249647.79	2755866.331	667630.517	398835.4432	0	767676.7069	1535353.414
Q9Y6I9	0	0	0	0	0	0	0	0	0	0	0	0	0	198276.4248	396552.8496	0	3085211.979	3173817.09	0	2810513.646	10912990.04	11635099.21	7894513.005	2438439.645	2374234.672	1148324.489	1628456.246	1987998.471	1426564.778	0	0	401916.3823	358007.3774	380102.4336	0	813367.9339	406683.967	0	0	0	0	0	902394.7064	447810.0068	361268.2254	504402.586	1439934.255	719967.1274	0	442811.9139	186902.8118	0	238098.1254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y6I3	0	42392.14841	84784.29683	127176.4452	169568.5937	211960.7421	1177278.571	0	0	0	0	0	0	0	0	0	0	0	4587956.913	0	0	0	0	0	0	0	0	1644310.714	3402975.994	3549939.04	5141497.105	5217019.469	4576662.01	2180832.653	1203534.019	0	217681.2814	435362.5629	2180776.431	0	0	0	0	0	0	6116901.074	0	0	0	586390.4246	2027572.797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
