Uniprot ID	KO_1st_1	KO_1st_2	KO_1st_3	KO_1st_4	KO_1st_5	KO_1st_6	KO_1st_7	KO_1st_8	KO_1st_9	KO_1st_10	KO_1st_11	KO_1st_12	KO_1st_13	KO_1st_14	KO_1st_15	KO_1st_16	KO_1st_17	KO_1st_18	KO_1st_19	KO_1st_20	KO_1st_21	KO_1st_22	KO_1st_23	KO_1st_24	KO_1st_25	KO_1st_26	KO_1st_27	KO_1st_28	KO_1st_29	KO_1st_30	KO_1st_31	KO_1st_32	KO_1st_33	KO_1st_34	KO_1st_35	KO_1st_36	KO_1st_37	KO_1st_38	KO_1st_39	KO_1st_40	KO_1st_41	KO_1st_42	KO_1st_43	KO_1st_44	KO_1st_45	KO_1st_46	KO_1st_47	KO_1st_48	KO_1st_49	KO_1st_50	KO_1st_51	KO_1st_52	KO_1st_53	KO_1st_54	KO_1st_55	KO_1st_56	KO_1st_57	KO_1st_58	KO_1st_59	KO_1st_60	KO_1st_61	KO_1st_62	KO_1st_63	KO_1st_64	KO_1st_65	KO_1st_66	KO_1st_67	KO_1st_68
A0A023T787	664260	795508	926756	1058004	1189252	1320500	4946800	9554500	12944700	1457200	9013400	6649800	3110100	3663500	5701500	8719770	6570600	2054400	5395300	1630600	0	1863600	0	921960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1459300	0	0	0	630240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235130	0	0	0	0	0	0	1041540	2083080
A0A024QYR8	0	0	0	0	0	0	0	1270800	0	0	0	1023900	0	1623000	5326900	1471000	5589140	0	0	0	0	6776200	38784700	281303500	598800000	1047516500	504302700	51964420	39824360	27684300	54900790	48371000	42007400	29584300	25768340	21481000	20970950	20460900	5673800	7006750	7735880	6469810	2886540	1463050	1877560	1121960	1121400	0	149330	298660	128900	0	520470	500580	1136470	0	0	0	524670	394660	0	347090	562570	0	0	0	0	0
A0A024QYS2	0	0	0	0	0	0	0	0	0	0	0	1171300	2007600	1513500	2233700	1647700	1447000	577140	0	0	0	0	12036500	171130900	543939600	974321100	483925800	84354600	55759590	27164580	34964830	37576900	40008940	48466500	47079850	64170220	55249610	46329000	17494100	19119580	16722100	22307340	9032210	9524680	13039000	10039820	24819920	30823060	22744385	14665710	7446420	1681540	3979720	3379560	2154400	1376800	3880890	3938250	2695360	3185660	1031710	821030	321180	254120	0	0	800680	1601360
A0A024QYT6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024QYW3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17409000	33823800	64730700	63256400	31479900	0	0	3097400	0	0	0	0	2467400	1233700	0	1125700	1386700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024QYX0	0	0	0	0	0	0	0	0	0	0	0	0	450210	0	0	754630	6824200	17134000	21933000	31645400	56820500	290210000	844621800	1212675500	1178730700	534140100	110726000	42473590	54320795	66168000	60132160	56996000	41979000	37770600	37018100	55428000	61682000	67936000	64542000	37493600	22655000	22718700	25355200	8858200	24202800	14188000	23223600	18842500	16130650	13418800	6320100	2290100	5229300	0	6194800	2693900	6755200	5367200	7041000	5521200	0	1745100	1118400	0	0	0	1225250	2450500
A0A024QYX3	3660580	4391496	5122412	5853328	6584244	7315160	16177350	18891700	39311840	15977010	11409100	1296200	6055700	1307600	2300400	960170	0	0	0	0	0	10684000	3069400	1000800	0	1417600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32128.5	64257
A0A024QYY0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	631910	1271800	4794400	20775100	34407300	46970160	59533020	50872540	22568440	6519300	4515420	4222090	3159510	2112205	1064900	3339000	0	0	0	0	0	0	1374900	1065400	0	0	0	0	0	682140	56697	329910	551940	0	4607200	4248200	0	827390	0	0	1639800	452620	0	768750	1537500
A0A024QYZ0	556020	444816	333612	222408	111204	0	0	129330	0	0	0	0	0	0	0	0	0	0	0	0	251230	476810	1159500	1989500	3605700	3527100	5550600	4398600	3753750	3108900	4322300	0	0	3792900	0	0	0	0	0	0	0	0	0	0	0	3567600	0	0	0	0	3242000	2586500	3207800	0	0	0	0	0	0	0	0	0	969100	0	0	0	0	0
A0A024QZ30	0	114754	229508	344262	459016	573770	1244600	9166900	2828700	3186600	4691980	28003800	71678090	171010800	466579530	391782300	290576380	227228300	193693400	258210100	272074040	382491900	580110730	858394700	1059395300	845730500	1049850000	2549779700	3652155800	4754531900	4205579500	801453300	135709260	88959800	49720700	30852950	38365255	45877560	27161800	33571210	14923580	15053020	14522900	11594270	11765320	15121030	13563090	6245080	4788870	3332660	5957940	3137400	3691300	3419340	1246500	4021030	3373990	2303970	3683330	1889110	1504960	1234710	2285700	2763800	1585200	467940	685155	902370
A0A024QZ57	0	0	0	0	0	0	0	0	0	0	0	1892500	1803300	2458500	3246900	0	0	3932200	3805400	4922000	0	0	0	0	0	0	0	0	555300	1110600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024QZ64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1245600	23491920	56786400	25271300	19694365	14117430	9876500	1978200	3713100	2811300	430880	1563560	781780	0	0	2171800	514960	5267000	4839010	1860180	0	933530	1565800	0	0	0	0	0	1738800	0	1635550	878670	0	0	3919600	4439300	4010300	1519100	0	0	0	0	144670	289340
A0A024QZ77	0	0	0	0	0	0	914900	5686600	8003000	14092100	14252600	9952500	3309460	0	2854600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3130120	4623400	0	2061200	0	1803000	3606000	4939100	2898900	0	738940	0	0	0	0	0	0	686450	1372900	1358700	0	0	2565900	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024QZD1	0	0	0	0	0	0	2911690	140212000	188596800	71811700	43175920	21925000	19656500	13451900	28407100	22107000	14994500	16697300	18652400	14057900	14543900	21987200	15402500	69430680	68614800	12451000	12581500	2267910	3950555	5633200	11003900	15686700	2749400	2364200	5238940	7918700	12502150	17085600	5285600	7277500	6705400	7105700	12884080	9841390	8996800	3694120	8838900	2468900	8402355	14335810	3528700	4511870	6886800	2772400	3977680	5807300	2830690	12672000	11896600	321820	0	0	1050600	0	0	0	45598100	91196200
A0A024QZF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	701100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216320	0	0	0	0	0	0	5085300	1786300	0	0	0	0	737110	0	572690	0	685225	1370450	2308050	2261600	1540980	806030	611230	784220	907960	535080	376900	324210	267760	315040	213860	0	0	0	0	0
