Uniprot ID	KO_2nd_1	KO_2nd_2	KO_2nd_3	KO_2nd_4	KO_2nd_5	KO_2nd_6	KO_2nd_7	KO_2nd_8	KO_2nd_9	KO_2nd_10	KO_2nd_11	KO_2nd_12	KO_2nd_13	KO_2nd_14	KO_2nd_15	KO_2nd_16	KO_2nd_17	KO_2nd_18	KO_2nd_19	KO_2nd_20	KO_2nd_21	KO_2nd_22	KO_2nd_23	KO_2nd_24	KO_2nd_25	KO_2nd_26	KO_2nd_27	KO_2nd_28	KO_2nd_29	KO_2nd_30	KO_2nd_31	KO_2nd_32	KO_2nd_33	KO_2nd_34	KO_2nd_35	KO_2nd_36	KO_2nd_37	KO_2nd_38	KO_2nd_39	KO_2nd_40	KO_2nd_41	KO_2nd_42	KO_2nd_43	KO_2nd_44	KO_2nd_45	KO_2nd_46	KO_2nd_47	KO_2nd_48	KO_2nd_49	KO_2nd_50	KO_2nd_51	KO_2nd_52	KO_2nd_53	KO_2nd_54	KO_2nd_55	KO_2nd_56	KO_2nd_57	KO_2nd_58	KO_2nd_59	KO_2nd_60	KO_2nd_61	KO_2nd_62	KO_2nd_63	KO_2nd_64	KO_2nd_65	KO_2nd_66	KO_2nd_67	KO_2nd_68
A0A023T787	0	0	0	0	2610443.028	3186742.479	3763041.929	6195638.753	15891304.95	8557203.112	23340348.63	22067948.71	47923014.4	9285462.559	7733173.528	6180884.497	8324668.978	0	1808412.304	1494332.195	11457076.92	8301256.537	4337309.357	0	3690728.408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024QYR8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	562870.4278	0	0	118062756.9	685790692.1	1373257141	701350821.4	88965995.79	52221229.4	40382264.63	33217836.73	27435007.91	21652179.09	37966100.69	30515930.57	23065760.45	14821886.48	12664967.47	10508048.46	8351129.455	2615964.83	5444276.085	1582345.305	815605.5227	1961255.788	2746102.664	761173.8054	1822636.466	911318.2331	0	432940.2136	1031428.474	195202.3335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024QYS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169165048.3	904020133.4	1366360763	684367745.7	99131589.45	86146828.64	51228321.01	35447407.93	51894272.44	68341136.96	38543548.68	59050483.91	79557419.13	32446595.57	37076177.6	41705759.63	46335341.66	22509295.31	24685901.38	15272112.14	7162197.095	2851326.127	17288674.3	8745982.485	5267949.48	5510126.889	5752304.298	41533582.48	6659160.915	4518866.213	5902108.583	1143728.678	574134.9043	0	0	0	1458506.743	1437037.976	741025.8536	0	0	251507.0461	0	482517.1624	277053.1117	0	0
A0A024QYT6	0	0	610534.6243	1395911.593	420840.8407	210420.4203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440180.4007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024QYW3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96309065.04	206155203.6	201138756.8	103491825.3	18584177.44	7058188.429	5110096.617	2776583.012	2651348.539	5318158.123	0	0	0	0	2624004.574	1312002.287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024QYX0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4523106.957	119875233.3	979671076.3	1149492998	814609831.3	288403242.4	126127238.6	275767812.8	81800861.1	34224615.88	44576205.92	54927795.96	44240679.13	52151212.94	60061746.76	59660643.05	60078533.04	60496423.03	60914313.02	66507236.02	63559035.39	41292920.25	1824889.361	6147311.94	11373189.7	10978977.2	10450253.6	6074843.808	1699434.016	2844037.348	1109440.496	1811106.943	3587581.143	0	3690551.71	678872.4482	1674033.726	2329272.861	1875734.116	461357.6164	2446600.113	0	1833547.547	0	0	2378085.592	397927.5703	0	0
A0A024QYX3	3694615.757	6089973.546	18003946.47	21080557.71	29467870.43	33570282.32	37672694.21	38475034.16	35538848.97	36761950.25	21396453.39	12286672.48	11790196.21	4537463.643	5999239.292	7461014.942	2839796.604	2664114.945	0	239796408	0	1303233.665	0	6799768.086	0	0	0	0	0	809694.9856	1619389.971	0	0	0	854333.2345	569555.4897	284777.7448	0	0	0	0	0	0	0	0	0	0	0	0	0	371325.7361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024QYY0	12595893.41	2365009.964	0	0	1962890.242	1612741.721	1262593.201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267193.3817	925233.1746	23844334.56	76865430.13	38110639.39	108280332.2	48558905.14	58585601.17	51756485.81	44927370.45	21735757.09	11700073.77	1664390.45	7982538.115	5758930.461	3535322.807	1311715.153	414643.1699	0	1054531.695	3438978.403	0	0	2329493.733	2506942.368	1253471.184	0	0	0	0	0	0	0	0	0	0	106455.9287	0	0	0	0	0	0	0	1288921.154	0	0
A0A024QYZ0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	622594.2403	2576031.157	1153261.518	1584050.437	0	1159799.332	881235.4548	1076552.642	1271869.829	2077169.46	2039245.722	2001321.985	0	911229.8843	1822459.769	2733689.653	1155028.494	1290378.91	2685097.794	0	0	0	1761278.2	0	1437568.069	2875136.138	2665263.48	2073105.413	1837788.291	2019786.892	1561123.915	1435094.301	1019545.556	868778.269	856453.6066	1426789.511	1112930.275	0	0	0	0	0	1790433.316	973383.2897	0	0
A0A024QZ30	0	0	0	0	0	0	0	0	0	0	0	13930592.51	102823864	327438275.6	335208136	342977996.4	194766199.5	180159574.9	75820837.68	106542687.3	81747542.58	68645719.57	43012082.56	70610244.26	346001249.3	2269089016	8161334423	2667218463	863186803.8	774545026.1	685903248.5	111829039.8	68989904.54	26150769.24	2770354.419	3772495.255	4774636.09	5776776.926	5734104.438	8580615.554	3140447.689	6853351.655	7222291.972	5377396.017	11084554.06	6499072.826	5366241.977	4233411.127	0	5334944.402	6885952.375	8063995.741	2255059.839	1771659.188	2606202.284	902395.0008	1370511.303	1532852.287	0	1681048.623	0	0	0	0	0	0	0	0
A0A024QZ57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2280813.525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024QZ64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2308334.187	7136598.02	10886785.19	10499419.73	7458364.477	11269534.43	15080704.39	6344639.063	3647194.52	949749.9763	604571.0779	844570.6882	1084570.299	1324569.909	1184227.784	3929446.96	4326884.194	7924272.058	7204229.053	10586973.42	7358883.689	7581257.706	7196343.919	6811430.132	6877117.491	6581413.941	4463471.493	3646509.816	1489958.928	3995929.459	850534.2346	0	0	2590432.017	1297490.991	4092759.782	4704177.894	6096997.278	3561739.109	3780402.476	6760673.727	0	0	0
A0A024QZ77	0	0	0	0	0	769915.9227	1539831.845	3642799.165	4049910.597	5130858.593	0	0	0	2980889.693	1490444.847	0	5196236.731	12616213.64	0	0	9553601.273	0	0	0	0	0	0	0	4058082.864	9318482.936	14578883.01	11672648.08	5836324.041	0	1842780.001	4641435.497	7440090.993	10238746.49	12515495.97	6921689.479	1939654.498	0	0	0	0	0	0	0	0	0	0	4059187.224	0	1913414.894	0	1567617.554	2101553.738	0	0	0	0	0	0	0	0	0	0	0
A0A024QZD1	0	0	0	0	0	7220816.547	14441633.09	127591576.4	173219508.9	113969422.9	54100939.21	26939061.72	1803288.071	1255834.515	3227139.983	5198445.452	8617457.018	5937748.503	5035044.281	4628109.547	6790403.11	7189121.402	100665811.1	11271235.15	12226904.5	7623400.101	9567913.785	25879715.02	6361690.388	12089345.36	17817000.33	2093293.122	2750409.67	3407526.217	3541816.447	4887884.572	6233952.697	7580020.823	8639985.971	4253908.057	7790953.666	3991070.273	2013514.124	3921539.739	2219013.514	1670323.075	2016054.153	2361785.232	16904577.74	17743317.41	8822514.664	7450722.303	6632744.614	599093.4502	644946.4955	1201367.458	728612.8423	1145619.344	873328.234	1606093.472	580716.8925	678695.7505	2524082.042	2875608.804	4906452.552	3656979.153	0	0
A0A024QZF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1054973.439	0	529342.0449	0	0	0	486404.5111	545554.0562	272777.0281	0	0	0	461225.0932	0	476774.4881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024QZF2	6248029.612	7795150.236	13665135.18	7788568.248	4563570.723	3595863.846	2628156.969	2731745.978	1428777.36	0	18024045.83	685631.1341	37698182.85	760550.9462	17978170.7	35195790.45	2777245.628	3293953.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024QZJ6	0	0	0	8455866.998	0	0	0	9089328.145	0	0	0	0	0	0	1736849.747	3473699.495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024QZM6	0	0	310948.1422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180580.6013	7177017.612	35462162.19	34478088.69	7090038.184	4799387.016	3369315.346	0	8862227.465	24350352.51	186852706	349355059.5	339023502.5	195505193.3	51986884.11	28180539.55	25008389.36	21836239.16	18664088.96	32405871.18	23715521.96	12530603.62	11663132.91	12965368.23	5482796.177	9542955.239	3982500.436	2197193.561	411886.6862	0	0	10020083.12	7139027.613	10440181.83	6922131.223	0	3475378.123	4814128.02	0	0	0	0	0	2047705.123	2025617.915	0	285340.2324	0	0
A0A024QZN2	0	0	0	0	0	0	0	0	0	0	0	0	2017048.078	3686752.71	5913165.44	8139578.169	0	0	5737373.345	8177568.168	6573595.069	4652449.651	0	0	662130.344	0	0	0	0	1326579.845	2653159.69	0	0	0	0	0	0	0	1644657.738	0	0	0	0	239226.558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
