Uniprot ID	P1_2nd_1	P1_2nd_2	P1_2nd_3	P1_2nd_4	P1_2nd_5	P1_2nd_6	P1_2nd_7	P1_2nd_8	P1_2nd_9	P1_2nd_10	P1_2nd_11	P1_2nd_12	P1_2nd_13	P1_2nd_14	P1_2nd_15	P1_2nd_16	P1_2nd_17	P1_2nd_18	P1_2nd_19	P1_2nd_20	P1_2nd_21	P1_2nd_22	P1_2nd_23	P1_2nd_24	P1_2nd_25	P1_2nd_26	P1_2nd_27	P1_2nd_28	P1_2nd_29	P1_2nd_30	P1_2nd_31	P1_2nd_32	P1_2nd_33	P1_2nd_34	P1_2nd_35	P1_2nd_36	P1_2nd_37	P1_2nd_38	P1_2nd_39	P1_2nd_40	P1_2nd_41	P1_2nd_42	P1_2nd_43	P1_2nd_44	P1_2nd_45	P1_2nd_46	P1_2nd_47	P1_2nd_48	P1_2nd_49	P1_2nd_50	P1_2nd_51	P1_2nd_52	P1_2nd_53	P1_2nd_54	P1_2nd_55	P1_2nd_56	P1_2nd_57	P1_2nd_58	P1_2nd_59	P1_2nd_60	P1_2nd_61	P1_2nd_62	P1_2nd_63	P1_2nd_64	P1_2nd_65	P1_2nd_66	P1_2nd_67	P1_2nd_68
A0A023T787	0	0	0	0	0	2225951.086	4396117.054	11619328.69	1446064.583	0	0	994257.9914	8838000.968	2530030.423	0	0	7065418.073	0	0	1716101.065	0	7910339.162	358302.8557	1843311.312	0	0	0	0	0	0	0	0	0	0	36976234.87	27732176.16	18488117.44	9244058.718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024QYR8	0	0	0	0	340068.1858	1479338.651	0	0	0	0	0	0	0	0	989573.1947	9171582.512	531231.9127	0	0	0	36447237.25	268181927.5	478692711.3	437525433.4	450422125.9	130718150.4	42488722.15	96603629.6	78475797.05	58598445.22	38721093.38	13360631.56	16725737.79	20090844.02	7907816.58	8638512.718	9369208.856	10099904.99	10830601.13	3020132.224	3134873.705	1209902.784	2914015.574	7575652.487	913703.514	1257231.242	1028336.884	799442.5256	711992.9886	0	361474.1026	233447.0195	0	0	0	150028.8101	0	0	0	0	0	0	0	0	0	0	0	0
A0A024QYS2	0	0	0	0	1396838.181	0	0	0	0	0	0	0	0	0	0	0	0	2447385.806	0	6926291.625	74703406.61	255093807	783834416.9	565734719.1	272024181.5	272347168.2	163919712.5	124586952.9	50508618.28	37597270.73	24685923.19	33008164.08	46900159.69	60792155.29	41848399.34	46156099.87	50463800.39	54771500.92	59079201.45	32300183.2	21845038.49	21647988.74	17058569.77	25295547.36	7738827.557	8015807.148	8470881.085	8925955.021	13777770.65	7204448.422	4504564.09	4595232.923	4521777.715	134617.0304	1017857.354	1520949.255	0	6527963.789	856308.7492	0	0	0	182411.5658	0	1382735.742	402363.9686	0	0
A0A024QYT6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024QYW3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21567602.43	51797033.45	236942430.3	342895688.8	106814203.9	87269352.51	32435609.86	13144097.85	0	5783921.987	7446904.666	19238177.4	0	0	0	0	0	0	0	0	1645444.722	3290889.444	4936334.167	6581778.889	2692436.706	3362722.993	2546847.642	2028204.619	2348476.536	686478.8654	754300.3058	377150.1529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020516.877	0	0	0
A0A024QYX0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	851023.3376	1586055.916	1786012.646	4664808.159	19367429.74	151415750.1	633354232.7	1468703923	732150587.3	420057820.8	188012180.1	168805378.8	211007924.8	298831957.2	93125540.49	90386640.21	87647739.93	80712727.38	103249698.3	125786669.3	103003278	117035997.7	131068717.4	145101437.1	159134156.8	72823529.86	58144332.26	67062503.31	46377324.37	53211842.03	14600757.28	26003648.37	27640612.41	29277576.44	17720783.79	16061957.36	1995146.772	9513140.223	652436.0099	1044493.426	4355107.065	7028636.413	6573730.648	3984239.345	4692892.914	856332.7738	569647.245	703320.1087	307370.7078	872693.5251	6832956.062	1197073.648	0	0
A0A024QYX3	1951397.979	3034595.032	4117792.086	6532528.463	11773878.93	19545752.32	25929460.41	4590860.446	11630307.93	2650393.66	4549778.384	8132566.695	2926868.734	1857557.899	3349509.464	0	0	0	148263002.1	0	0	0	15706561.48	0	11010473.3	19927443.12	0	10074474.96	2986497.787	1493248.893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284691.4872	304199.4608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024QYY0	1819575.009	1329112.839	838650.6696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	677998.1823	5369305.473	11538582.01	33608947.21	39326128.86	63379268.16	242662615.1	103454604.1	66908157.28	30361710.46	18859741.93	16133046.15	13406350.37	505165.2237	1191578.622	1877992.021	2564405.419	3250818.817	0	0	0	4594464.136	5101863.647	1060229.538	1217902.975	608951.4874	0	1915913.647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	552397.5836	552397.5836
A0A024QYZ0	614453.1204	417133.0902	219813.0601	176727.3459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	930688.9049	0	468071.2443	656063.7243	0	929583.7733	324596.3446	429968.2318	535340.1189	0	0	0	930352.5605	870861.6495	811370.7385	751879.8275	692388.9165	442148.703	458413.3559	1066956.425	0	0	0	0	370483.3269	740966.6539	666250.1538	1009177.267	888693.9074	902460.0021	0	0	0	0	276306.9025	748750.6236	457524.4458	442653.2195	399913.4596	520156.5729	0	0	688304.7349	383985.151	0	0
A0A024QZ30	0	0	0	0	0	0	0	0	0	0	0	13510689.2	44076608.74	180294950.7	218650173.4	193111160.8	117761108.1	104529825	88537202.62	61802149.39	81844382.04	133594591.6	49904039.27	60392914.52	373137924.9	2425541344	6683098211	4413236022	1751666215	1116048145	480430074.1	228895223.1	171145639	113396054.9	39445026.6	37856358.01	36267689.41	34679020.82	33090352.23	10892728.74	14579447.47	2458629.318	18609429.64	11645059.03	5420237.621	255117.207	1354759.098	2454400.989	3539592.084	7705097.021	9213176.299	3192604.814	2106885.177	815587.0555	1419397.279	2490077.517	1480611.955	882447.5119	1557661.243	1160916.628	795598.5899	862867.4645	1108898.568	394844.2694	0	484552.1186	0	0
A0A024QZ57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	730107.5355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024QZ64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	993272.9828	4247789.186	5003362.795	5525897.803	3154441.74	782985.6759	285628.4465	638285.5217	990942.5968	0	100452.8507	200905.7014	301358.5521	401811.4028	875552.4523	397775.2703	1381414.389	3019267.339	3705505.958	3210647.287	3428165.998	3522919.013	3617672.027	3302901.743	4206034.434	2284835.375	3852896.867	1713398.298	580314.1665	1927805.823	738540.1694	438929.4068	1769772.017	1281207.791	700557.2799	867215.9167	820271.8521	1780823.332	2729915.079	2316259.55	1758696.678	0	0
A0A024QZ77	0	0	0	0	0	0	1480708.053	0	0	0	0	0	0	1808715.891	0	0	0	0	0	0	0	0	0	0	0	2962232.943	0	0	6485200.005	8780510.105	11075820.2	7201853.765	5320127.121	3438400.477	2320295.682	4817052.037	7313808.392	9810564.747	12307321.1	9096433.569	4020996.98	1731284.611	0	0	0	0	0	0	0	0	0	2422159.978	1491879.491	0	0	862579.1693	0	0	0	0	0	0	0	0	0	0	0	0
A0A024QZD1	0	0	0	0	0	2035796.392	26709563.13	96979326.27	67033697.82	69802941.17	20525030.97	963530.5304	6930592.028	405343.0187	1084230.111	728882.281	463290.3493	350759.1319	648087.5577	523688.1889	43155049.18	82746121.31	72222842.83	67448987.02	46757153.27	325533.3039	26053523.43	5869593.703	0	5855082.846	11710165.69	1046031	2331238.887	3616446.773	606573.0522	2774018.235	4941463.418	7108908.601	9276353.784	10904212.5	3561022.025	4804198.877	3535652.05	11439888.96	1051052.141	162891.5799	287504.7676	412117.9554	0	2308355.457	3117600.018	415505.4237	334038.0116	2233975.301	665613.502	262757.0292	149413.7804	0	769015.3721	272895.4095	330761.0565	352344.7554	674394.4926	909619.3323	0	1175980.051	0	0
A0A024QZF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1095954.115	1219296.402	0	198287.0202	417211.1702	0	0	0	0	0	1114517.922	1034162.849	373102.0081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024QZF2	679631.855	1999315.04	3318998.224	5915889.104	4348139.932	2400874.184	34567480.62	1673193.133	1269627.935	14842516.81	792715.6381	1617720.336	27076298.62	36405393.61	20266646.42	401066.6403	26715617.33	100761.5668	17356090.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1702503.143	1276877.357	851251.5713	425625.7857	0	0	1776835.249	2136747.753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024QZJ6	0	278156.7965	556313.593	0	0	0	0	0	0	0	0	0	0	0	1862939.409	0	0	0	936310.6608	1527051.503	0	0	0	0	0	0	167417.8142	0	0	0	0	0	0	0	0	77713.56863	155427.1373	233140.7059	310854.2745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024QZM6	0	0	0	0	0	0	0	0	0	0	6769170.754	2171078.904	12956465.74	267682.0718	0	0	0	0	0	0	0	31213718.8	4215596.224	2564385.599	302301.5176	5283057.166	2492071.558	793508.4498	60889887.36	335874896.4	610859905.4	118875630.8	87963049.57	57050468.29	28209394.77	27510128.81	26810862.85	26111596.89	25412330.93	15297446.6	9283296.893	13385665.19	16711846.77	4382879.501	0	15533632.43	7766816.214	0	0	0	0	3433235.188	2711896.631	0	0	0	0	0	0	668508.4661	518739.1217	0	0	2564265.476	0	259081.2656	0	0
A0A024QZN2	0	0	0	0	0	0	0	0	2075629.175	2047376.248	0	0	0	0	4683835.641	0	0	0	0	0	0	0	0	0	0	0	0	6334325.529	0	0	0	918172.0893	459086.0446	0	0	0	0	0	0	483230.7657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024QZN4	1933165.711	2257947.045	2582728.379	8334373.318	8088049.114	8564985.435	2803190.103	0	1787021.679	0	30079998.02	213260495.1	454929789.2	78773389.74	3958364.853	0	1426076.117	0	1799634.593	7612434.146	4306913.722	0	2036853.474	1998596.704	1278420.937	3498582.095	113408307.4	876702942.2	431900196.2	320023720	208147243.8	218497016.6	317074446	415651875.3	1374910330	1105211862	835513393.5	565814925.2	296116456.9	62726615.93	12181264.04	16565657.09	8536011.77	5945175.089	343239.4327	4102104.023	7836413.072	11570722.12	6569045.852	4274936.982	5599316.975	4836199.642	1637691.984	1713602.507	517352.9023	7537501.425	3754155.769	9887803.83	2538511.106	1716605.582	277940.5751	0	464011.0872	1183908.169	0	1266391.821	0	0
A0A024QZN7	37160047.07	45717813.12	54275579.16	61051500.83	127719544.3	276819010.8	420672514.2	238557628.1	340353261.6	225211459.4	239502347.4	168392972.6	63562047.3	235512822.6	216768855.2	295625057.8	213858083	429320288.4	366586056.6	266798206.8	226843618.5	123602713.2	82741628.71	60770196.81	46961626.62	89562524.42	30178498.87	24071926.53	17037836.54	18160289.78	19282743.03	16026328.88	15083003.04	14139677.2	8253650.669	10265963.02	12278275.36	14290587.71	16302900.06	13821038.95	14894770.31	9863298.74	14579327.34	13585429.72	2735921.229	6070030.925	6487013.862	6903996.798	1528036.511	3300379.161	1275586.035	1354314.643	1019772.115	1100302.567	2005933.816	1764919.048	1597011.132	4702815.073	1044085.008	1217134.188	112271.7517	518972.1603	181635.5713	876249.1656	0	0	0	0
A0A024QZS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	887780.9727	605299.7485	0	751969.9198	0	0	0	0	0	0	522655.1311	1045310.262	4241182.421	7275116.777	10309051.13	12558185.96	11117899.29	9677612.621	8237325.955	6797039.288	2906015.383	1623197.944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
