Uniprot ID	P1_1st_1	P1_1st_2	P1_1st_3	P1_1st_4	P1_1st_5	P1_1st_6	P1_1st_7	P1_1st_8	P1_1st_9	P1_1st_10	P1_1st_11	P1_1st_12	P1_1st_13	P1_1st_14	P1_1st_15	P1_1st_16	P1_1st_17	P1_1st_18	P1_1st_19	P1_1st_20	P1_1st_21	P1_1st_22	P1_1st_23	P1_1st_24	P1_1st_25	P1_1st_26	P1_1st_27	P1_1st_28	P1_1st_29	P1_1st_30	P1_1st_31	P1_1st_32	P1_1st_33	P1_1st_34	P1_1st_35	P1_1st_36	P1_1st_37	P1_1st_38	P1_1st_39	P1_1st_40	P1_1st_41	P1_1st_42	P1_1st_43	P1_1st_44	P1_1st_45	P1_1st_46	P1_1st_47	P1_1st_48	P1_1st_49	P1_1st_50	P1_1st_51	P1_1st_52	P1_1st_53	P1_1st_54	P1_1st_55	P1_1st_56	P1_1st_57	P1_1st_58	P1_1st_59	P1_1st_60	P1_1st_61	P1_1st_62	P1_1st_63	P1_1st_64	P1_1st_65	P1_1st_66	P1_1st_67	P1_1st_68
RBM8A	0	73555.44094	147110.8819	220666.3228	294221.7638	367777.2047	1020395.216	16587382.03	22648392.67	12893357.09	10218510.38	10764671.36	7065971.864	17770078.73	28474185.59	9765533.432	28865437.94	11068688.08	11899644.37	5312160.478	3886534.745	2460909.011	0	0	0	0	784563.3151	492386.5273	0	0	533718.2431	0	393697.6726	0	0	0	0	0	0	0	0	0	0	0	0	1002151.938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7650803.131
TM9SF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257544.1311	128772.0656	0	18154563.77	113588858.6	453631845.1	914587843.1	280628815.6	38532669.22	13750597.8	7038106.508	21060408.59	40737797.01	26045577.65	39950276.55	14318448.26	17762299.18	12225373.32	3652636.359	2874305.784	4599614.891	6147211.269	3600459.901	1053708.533	481354.121	246648.2082	764443.3907	0	3419659.235	300661.5044	0	0	442922.677	885845.354	0	341640.6381	0	0	0	0	0	0	359997.6523	0	356778.9193	0	0	0	0
TM9SF3	0	0	0	0	0	0	0	0	0	0	0	0	528475.0067	1254026.322	1979577.637	0	0	4259304.966	16384829.33	5120970.015	2839673.128	558376.2397	16861668.12	94297729.53	486743064.8	770353348.4	183145791.6	43542519.02	26274346.53	6980465.029	15406914.56	25301470.28	27941013.28	22702337.73	17374754.63	36541490.49	25332065.3	16821348.66	4813882.419	17583471.83	18283540.56	14736258	11188975.43	7675085.799	5789033.395	8236396.431	8532724.588	17679351.4	5462292.192	6840319.348	5448416.382	5241450.716	5034485.049	2984243.144	4791157.937	1850509.858	928553.2771	1157003.702	1315051.452	1248788.772	576164.5731	480580.7152	160618.1867	0	0	334668.6123	0	3751643.674
AP1S1	0	0	0	0	0	0	0	643746.5916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLP2	0	0	0	0	0	0	0	0	0	0	0	0	0	40924540.39	81849080.77	44047734.98	199550069.8	289106139.3	221516045.6	55465706.77	27732853.39	0	0	0	0	0	0	4992903.114	0	0	0	2223882.881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333059.2459	666118.4917	0	0	0	0	893488.423	0	0	0	0	1270546.497	682803.5845	0	0	0	0
EBP	0	0	0	0	0	0	0	0	0	0	408415.13	431253.3483	0	301127.8226	602255.6452	885697.497	7740427.215	23181473.99	29649989.88	49206579.13	194993686	340780792.9	433689917.8	1033773089	1206438322	568676867.6	87895294.35	43195623.77	37013609.24	55714561.46	41025788.31	40443550.22	46730884.42	30442844.56	27082168.89	40619613.78	44077875.06	37366987.45	49696326.98	54632930.7	15441160.52	15962811.35	16484462.19	16726151.5	14660248.13	6387080.803	8666353.187	8904516.679	9632541.756	12036355.22	4835151.078	5855534.92	6875918.762	4112130.392	7345137.237	5767332.538	5437133.757	3034139.192	2965442.559	5929634.02	5592633.817	5163962.279	3402758.044	0	1089353.442	134276.8951	185480.9084	12421238.34
RBM3	0	921831.4708	1843662.942	2765494.413	3687325.883	4609157.354	75932264.82	76655603.97	100636017.5	51358694.51	26354086.94	7046102.159	8247133.123	5584677.973	2922222.823	5043970.644	1640416.447	2104914.871	1010067.974	0	0	0	3064620.479	967155.3254	355414.0855	137165.7932	0	0	0	0	0	0	0	0	0	639936.4307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	594134.8843	0
SLC38A5	0	106279.6051	212559.2103	318838.8154	425118.4205	531398.0257	2374810.748	1570923.661	0	0	0	0	0	0	0	0	3787413.693	0	0	0	0	0	507922.8849	7209870.837	14894783.44	35591338.72	83877257.87	71345467.99	144721171.7	56894164.54	117986239.3	42861000.65	15159310.97	1787272.56	6915169.107	7485294.29	9899253.02	6706963.716	6142434.351	10235002.13	0	1430061.443	2860122.887	1817731.1	1245979.49	0	0	0	0	0	0	0	0	2902091.525	2322833.329	2997516.152	4264195.621	0	5233682.537	0	0	0	0	3699097.575	0	418708.2513	0	0
SEC61G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2760717.494	4117362.255	5633123.885	0	0	0	0	0	3686415.994	2138580.771	3352145.458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDHA	0	0	0	0	0	0	0	0	0	1107084.907	0	3898101.711	26096520.07	84753299.17	143410078.3	131659439.6	105678771.2	100434477.1	112333950.8	165178585.4	188076213.7	210973842.1	225000534.4	360775482.4	715756199.1	676530137.4	847726434.1	2782816883	3343130731	4892841350	4579631837	1045641422	127987388.5	83156307.18	38573614.23	28006002.12	18599192.49	9163607.622	8738097.949	18243880.77	8519053.504	9260050.188	10001046.87	10327537.85	1316382.165	6679678.415	2899100.264	934080.8539	3974054.71	5472903.775	5607453.637	5869080.895	6130708.154	2043019.66	451418.7672	0	952051.1651	2140787.252	5310056.36	1501317.139	1688640.573	2284754.467	1359681.516	7568571.897	0	0	0	4005207.04
