iBAQ WT_1_01	iBAQ WT_1_02	iBAQ WT_1_03	iBAQ WT_1_04	iBAQ WT_1_05	iBAQ WT_1_06	iBAQ WT_1_07	iBAQ WT_1_08	iBAQ WT_1_09	iBAQ WT_1_10	iBAQ WT_1_11	iBAQ WT_1_12	iBAQ WT_1_13	iBAQ WT_1_14	iBAQ WT_1_15	iBAQ WT_1_16	iBAQ WT_1_17	iBAQ WT_1_18	iBAQ WT_1_19	iBAQ WT_1_20	iBAQ WT_1_21	iBAQ WT_1_22	iBAQ WT_1_23	iBAQ WT_1_24	iBAQ WT_1_25	iBAQ WT_1_26	iBAQ WT_1_27	iBAQ WT_1_28	iBAQ WT_1_29	iBAQ WT_1_30	iBAQ WT_1_31	iBAQ WT_1_32	iBAQ WT_1_33	iBAQ WT_1_34	iBAQ WT_1_35	iBAQ WT_1_36	iBAQ WT_1_37	iBAQ WT_1_38	iBAQ WT_1_39	iBAQ WT_1_40	iBAQ WT_1_41	iBAQ WT_1_42	iBAQ WT_1_43	iBAQ WT_1_44	iBAQ WT_1_45	iBAQ WT_1_46	iBAQ WT_1_47	iBAQ WT_1_48	iBAQ WT_1_49	iBAQ WT_1_50	iBAQ WT_1_51	iBAQ WT_1_52	iBAQ WT_1_53	iBAQ WT_1_54	iBAQ WT_1_55	iBAQ WT_1_56	iBAQ WT_1_57	iBAQ WT_1_58	iBAQ WT_1_59	iBAQ WT_1_60	iBAQ WT_1_61	iBAQ WT_1_62	iBAQ WT_1_63	iBAQ WT_1_64	iBAQ WT_1_65	iBAQ WT_1_66	iBAQ WT_1_67	iBAQ WT_1_68	iBAQ WT_1_69	iBAQ WT_1_70	iBAQ WT_1_71	iBAQ WT_1_72	C: Indicator	C: GOCC name	T: Uniprot ID
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2420.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		cytosol;Golgi apparatus;intracellular membrane-bounded organelle	H0Y6I0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3973.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		myosin complex;plasma membrane	E9PDF6
0	0	0	0	0	0	0	0	0	0	4022.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		actin filament;cytosol;extracellular exosome;focal adhesion;intracellular;pseudopodium	Q08043
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5100.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		apical part of cell;axoneme;cell projection;ciliary tip;cilium;cytoplasm;cytoplasmic dynein complex;cytoskeleton;dynein complex;extracellular exosome;Golgi apparatus;membrane;microtubule;motile cilium;plasma membrane	Q8NCM8
0	0	0	0	0	0	0	0	0	0	338.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5395.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			A0A0A0MTS7
0	0	0	0	0	0	0	0	0	6219.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		cytosol;mitochondrion	Q2TB90
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6396.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	mitochondrial matrix;mitochondrion	Q8N465
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6485.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		cell junction;cell projection;clathrin-coated pit;cytosol;endocytic vesicle;endomembrane system;lamellipodium;membrane;neuron projection;plasma membrane;synapse	Q15811
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7731.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Golgi apparatus;histone acetyltransferase complex;nucleoplasm;nucleus	F2Z2U4
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8645.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		cellular_component;integral component of membrane;membrane	Q96RT6
