Uniprot ID	iBAQ WT_4_72	iBAQ WT_4_01	iBAQ WT_4_02	iBAQ WT_4_03	iBAQ WT_4_04	iBAQ WT_4_05	iBAQ WT_4_06	iBAQ WT_4_07	iBAQ WT_4_08	iBAQ WT_4_09	iBAQ WT_4_10	iBAQ WT_4_11	iBAQ WT_4_12	iBAQ WT_4_13	iBAQ WT_4_14	iBAQ WT_4_15	iBAQ WT_4_16	iBAQ WT_4_17	iBAQ WT_4_18	iBAQ WT_4_19	iBAQ WT_4_20	iBAQ WT_4_21	iBAQ WT_4_22	iBAQ WT_4_23	iBAQ WT_4_24	iBAQ WT_4_25	iBAQ WT_4_26	iBAQ WT_4_27	iBAQ WT_4_28	iBAQ WT_4_29	iBAQ WT_4_30	iBAQ WT_4_31	iBAQ WT_4_32	iBAQ WT_4_33	iBAQ WT_4_34	iBAQ WT_4_35	iBAQ WT_4_36	iBAQ WT_4_37	iBAQ WT_4_38	iBAQ WT_4_39	iBAQ WT_4_40	iBAQ WT_4_41	iBAQ WT_4_42	iBAQ WT_4_43	iBAQ WT_4_44	iBAQ WT_4_45	iBAQ WT_4_46	iBAQ WT_4_47	iBAQ WT_4_48	iBAQ WT_4_49	iBAQ WT_4_50	iBAQ WT_4_51	iBAQ WT_4_52	iBAQ WT_4_53	iBAQ WT_4_54	iBAQ WT_4_55	iBAQ WT_4_56	iBAQ WT_4_57	iBAQ WT_4_58	iBAQ WT_4_59	iBAQ WT_4_60	iBAQ WT_4_61	iBAQ WT_4_62	iBAQ WT_4_63	iBAQ WT_4_64	iBAQ WT_4_65	iBAQ WT_4_66	iBAQ WT_4_67	iBAQ WT_4_68	iBAQ WT_4_69	iBAQ WT_4_70	iBAQ WT_4_71
A0A075B746;P82921	620350	0	0	0	0	0	0	0	0	0	4680100	7593500	12798000	29821000	32995000	28257000	64488000	58057000	65067000	33971000	6807000	12717000	8466200	3096200	3448300	3318400	1257300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77545	0	0	0
V9HW75;A0A087WSV8;P80303;Q2L696;E9PKG6;E9PLR0;E9PLE9;H0YEG8;E9PM22;E9PJP3;H0YD18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	487860	535950	5929700	18616000	2414500	247060	51855	0	0	0	0	0	0	0	0	0	0	0	33472
A0A087WSY9;Q16881;E2QRB9;E9PIR7;F8W809;A0A087WSW9;A0A182DWI3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99143	0	0	0	0	0	0	0	22070000	1161500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WTT1;P11940;E7EQV3;E7ERJ7;H0YAR2;Q9H361;H0YBN4;E5RGH3;E5RJB9;H0YAP2;Q4VXU2;E5RH24;H0YB86;E5RHG7;H0YAS7;H0YAS6;H0YB75;H0YC10;E5RGC4;E5RFD8;H0YER0;H0Y6X6;Q5JQF8;Q96DU9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51995	0	0	0	0	0	0	0	0	0	0	0	0	119310	0	0	540470	273560	1589200	9312700	3896000	431170	0	0	0	117160	301280	270310	69473	46121	0	0	0	0	0	0	0	0
A0A087WU07;Q5TGZ0;R4GMM1;R4GNA1	0	22765000	20938000	0	20533000	12241000	13249000	23871000	26829000	99366000	48937000	8882600	10635000	21186000	14421000	31268000	48428000	22586000	31962000	34423000	14929000	32634000	34957000	37158000	103610000	71234000	32627000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WUM0;A0A087X1F5;A0A087WYV9;P57105;A0A087WX56;Q9P0S2;A0A087WTA2	2414600	0	0	0	0	0	0	762270	647020	1018900	443700	0	0	0	469780	530120	738940	777860	766480	1107800	0	711750	549370	1016100	489980	468970	717780	742290	1131200	898190	1192100	1388700	2401100	1161500	1342100	1256100	0	1264500	1245000	465980	0	0	0	0	0	456830	124340	0	187340	0	0	0	0	528960	0	386670	425020	0	0	500270	453260	573510	623210	472850	1039500	0	648110	2051800	1084100	1699500	992400	1545600
A0A087WUQ6;P07203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q5TI65;A0A087WVZ0;Q9Y5U8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10303000	0	0	0	0	0	21611000	17959000	38066000	768520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WXC5;E7ESZ7;O95299;C9J6X0;Q8N1B9;H7C2W5;H7C1Y7;H7C2X4	0	1413200	1010100	0	1068000	9510600	13786000	22530000	13148000	24566000	26219000	32715000	62817000	185790000	59423000	6601600	2463200	2372200	3713700	2588100	841300	5598500	4229900	4042900	2551900	3186100	681240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1554200	2625700	2526700	1021700	0	0
A0A087WXU0;Q9NWS8;Q5SZ82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319850	363220	248580	0	0	830220	463610	0	0	706250	356320	549580	544060	1923600	4327200	2969100	3327100	4323300	3149200	5505200	2518500	1718600	1466700	1324500	1724700	2347700	427420	142220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
