Uniprot ID	iBAQ WT_5_01	iBAQ WT_5_02	iBAQ WT_5_03	iBAQ WT_5_04	iBAQ WT_5_05	iBAQ WT_5_06	iBAQ WT_5_07	iBAQ WT_5_08	iBAQ WT_5_09	iBAQ WT_5_10	iBAQ WT_5_11	iBAQ WT_5_12	iBAQ WT_5_14	iBAQ WT_5_15	iBAQ WT_5_16	iBAQ WT_5_17	iBAQ WT_5_18	iBAQ WT_5_19	iBAQ WT_5_20	iBAQ WT_5_21	iBAQ WT_5_22	iBAQ WT_5_23	iBAQ WT_5_24	iBAQ WT_5_25	iBAQ WT_5_26	iBAQ WT_5_27	iBAQ WT_5_28	iBAQ WT_5_29	iBAQ WT_5_30	iBAQ WT_5_31	iBAQ WT_5_32	iBAQ WT_5_33	iBAQ WT_5_34	iBAQ WT_5_35	iBAQ WT_5_36	iBAQ WT_5_37	iBAQ WT_5_38	iBAQ WT_5_39	iBAQ WT_5_40	iBAQ WT_5_41	iBAQ WT_5_42	iBAQ WT_5_43	iBAQ WT_5_44	iBAQ WT_5_45	iBAQ WT_5_46	iBAQ WT_5_47	iBAQ WT_5_48	iBAQ WT_5_49	iBAQ WT_5_50	iBAQ WT_5_51	iBAQ WT_5_52	iBAQ WT_5_53	iBAQ WT_5_54	iBAQ WT_5_55	iBAQ WT_5_56	iBAQ WT_5_57	iBAQ WT_5_58	iBAQ WT_5_59	iBAQ WT_5_60	iBAQ WT_5_61	iBAQ WT_5_62	iBAQ WT_5_63	iBAQ WT_5_64	iBAQ WT_5_65	iBAQ WT_5_66	iBAQ WT_5_67	iBAQ WT_5_68	iBAQ WT_5_69	iBAQ WT_5_70	iBAQ WT_5_71	iBAQ WT_5_72
A0A075B746;P82921	0	0	0	0	0	0	2134400	2782200	6078300	11698000	17219000	39521000	129530000	138690000	60026000	31929000	16894000	13319000	14180000	10738000	2540800	7071300	5386600	6091200	0	0	0	0	0	0	0	662320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194060	0
V9HW75;A0A087WSV8;P80303;Q2L696;E9PKG6;E9PLR0;E9PLE9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	558790	216360	0	28359000	9072000	2880400	0	0	0	0	0	0	0	20273	0	0	0	0	0	0	0	0
A0A087WSY9;Q16881;E2QRB9;E9PIR7;F8W809;A0A087WSW9;A0A182DWI3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WTT1;P11940;E7EQV3;E7ERJ7;H0YAR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56951	0	0	263550	0	0	0	0	0	0	0	0	357540	479550	1100900	2368300	2345800	5888100	3604500	0	0	41058	0	0	299130	415680	142820	0	44999	0	18645	0	0	0	0	0	0	0	0
A0A087WU07;Q5TGZ0	0	0	0	10977000	14115000	40179000	13058000	14375000	0	25047000	20229000	16529000	81384000	64904000	0	0	0	0	0	0	39248000	43392000	18794000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1396600	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WUM0;A0A087X1F5;A0A087WYV9;P57105	0	683450	0	360960	520570	450150	671340	733750	0	641910	700950	0	3256200	2651500	2478400	616670	0	762980	865850	733640	713480	635110	1742700	3409100	823750	672730	4756600	2505700	1966100	937320	1257700	1169600	504450	0	0	2806200	512950	840020	452080	0	0	0	0	0	0	0	0	2135300	622630	0	0	0	586060	1359400	752700	0	710860	3169200	0	2849700	1720700	791890	2800600	1110600	2580700	1193400	1551500	0	1534300	0	2915300
A0A087WUQ6;P07203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q5TI65;A0A087WVZ0;Q9Y5U8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20062000	0	0	0	18500000	6379900	0	7094500	1414500	0	27787000	31538000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WXC5;E7ESZ7;O95299	0	1709400	3907100	9337700	23686000	8887900	11595000	11852000	26953000	69234000	98902000	124200000	9648100	7772400	5066100	3461500	4488400	2916100	1846800	2024200	1116800	0	0	0	72600	65260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323710	0	3248300	2286500	1693900	608720	0	0	0	0	0
A0A087WXU0;Q9NWS8;Q5SZ82	0	0	0	0	0	0	0	0	0	0	0	0	2538500	1527800	394000	1027700	324870	362890	0	0	0	1066300	1415500	7824700	5749200	1954400	7999800	4769200	2507000	4083500	5655900	2103600	3094300	6270300	2268400	7505000	3223200	2242100	0	0	29101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WYF7;Q6UXV4;A0A087WUX8	0	598060	0	0	2013300	1679500	1425000	1425400	381480	431690	0	271410	4326600	5562500	5674300	2408600	2224100	2605900	2113900	2329500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WZN1;O43837;A0A087X2E5	0	499510	0	0	171510	0	0	0	0	247560	0	0	835030	1096300	0	0	0	0	196420	0	0	340030	381740	2300900	8029300	15935000	107970000	144740000	37020000	10880000	2789500	291700	660470	774930	0	2386500	0	708180	250620	314920	0	0	0	0	612740	331420	394050	471300	263540	0	326940	0	669920	0	0	0	823000	1457900	1334700	1122200	2170800	1979400	5207900	790940	2793100	0	0	0	0	0	0
A0A087X1K9;E5RGR0;O75608;B4DP64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
