Uniprot ID	F1.mitosis.intensity.mean	F2.mitosis.intensity.mean	F3.mitosis.intensity.mean	F4.mitosis.intensity.mean	F5.mitosis.intensity.mean	F6.mitosis.intensity.mean	F7.mitosis.intensity.mean	F8.mitosis.intensity.mean	F9.mitosis.intensity.mean	F10.mitosis.intensity.mean	F11.mitosis.intensity.mean	F12.mitosis.intensity.mean	F13.mitosis.intensity.mean	F14.mitosis.intensity.mean	F15.mitosis.intensity.mean	F16.mitosis.intensity.mean	F17.mitosis.intensity.mean	F18.mitosis.intensity.mean	F19.mitosis.intensity.mean	F20.mitosis.intensity.mean	F21.mitosis.intensity.mean	F22.mitosis.intensity.mean	F23.mitosis.intensity.mean	F24.mitosis.intensity.mean	F25.mitosis.intensity.mean	F26.mitosis.intensity.mean	F27.mitosis.intensity.mean	F28.mitosis.intensity.mean	F29.mitosis.intensity.mean	F30.mitosis.intensity.mean	F31.mitosis.intensity.mean	F32.mitosis.intensity.mean	F33.mitosis.intensity.mean	F34.mitosis.intensity.mean	F35.mitosis.intensity.mean	F36.mitosis.intensity.mean	F37.mitosis.intensity.mean	F38.mitosis.intensity.mean	F39.mitosis.intensity.mean	F40.mitosis.intensity.mean	F41.mitosis.intensity.mean	F42.mitosis.intensity.mean	F43.mitosis.intensity.mean	F44.mitosis.intensity.mean	F45.mitosis.intensity.mean	F46.mitosis.intensity.mean	F47.mitosis.intensity.mean	F48.mitosis.intensity.mean	F49.mitosis.intensity.mean	F50.mitosis.intensity.mean	F51.mitosis.intensity.mean	F52.mitosis.intensity.mean	F53.mitosis.intensity.mean	F54.mitosis.intensity.mean	F55.mitosis.intensity.mean	F56.mitosis.intensity.mean	F57.mitosis.intensity.mean	F58.mitosis.intensity.mean	F59.mitosis.intensity.mean	F60.mitosis.intensity.mean	F61.mitosis.intensity.mean	F62.mitosis.intensity.mean	F63.mitosis.intensity.mean	F64.mitosis.intensity.mean	F65.mitosis.intensity.mean
A0AVT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234716.0061	1117506.086	2189619.549	2052215.288	1025125.399	381696.9976	160539.0798	102309.5328	39624.65798	30804.09704	21338.57426	13762.89289	8998.733256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0FGR8	167656.5564	349587.8743	442979.6587	509340.3159	488728.3335	494073.3932	479731.4794	399252.712	306190.4494	307620.2646	303871.6303	277151.9135	234444.1726	220354.3172	196000.8186	184962.7849	153075.6605	144461.014	134371.5617	122533.5134	117520.2838	96768.87615	94006.02829	87658.14918	75542.0247	47714.82685	26014.9575	22315.60611	24100.81504	26982.32758	39832.6055	57398.00894	58883.3084	49221.74571	32021.01447	7679.04869	0	0	24423.76682	42735.82513	32294.54664	19313.30163	9599.190523	0	0	0	0	6895.445301	4693.941598	6932.268346	9169.874745	0	0	0	0	0	0	0	14023.12902	5965.15813	5045.16601	0	0	0	0
A0MZ66	3970.171488	11594.82084	31876.74959	41935.53484	51646.90005	62857.2313	95521.35774	107366.5663	121172.8523	173486.1458	193730.2101	212184.845	188920.0563	171092.1518	163668.037	190566.1474	177403.1519	193799.8386	239296.8818	288637.2897	362943.9294	428802.7377	609376.1934	538490.766	442564.2676	281893.5249	153501.0602	87751.45351	52626.85607	31613.77445	23169.64737	18749.93799	15305.04868	5984.27893	0	0	0	0	0	0	0	0	0	121231.9624	131498.1404	56681.00556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0PJW6	45959.50808	71234.25125	88448.75206	111553.2971	110577.5757	122515.706	125399.8113	121139.365	97984.19598	104493.0858	117090.5949	122259.9122	118885.7055	124480.179	92399.82009	68718.17928	63836.09095	48308.22481	45897.18923	35989.11586	33350.81831	13472.28302	8335.137421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1L0T0	87668.04261	185355.3267	252256.3415	298924.3289	345922.3334	367829.5925	356591.2591	315233.0608	285184.9542	306766.1185	294691.5674	277078.1038	253380.1692	220581.5092	209437.8926	177829.1727	150756.9872	122927.5012	113827.22	101487.1355	92940.29846	86785.07327	78725.90583	47034.16011	46246.98794	45037.71043	40222.0212	37931.00558	34562.7358	30316.24649	19011.20118	20177.51898	15227.17726	6592.312603	5332.570945	3807.980713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1X283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34897.11524	5104.799501	35024.13271	7292.838235	11105.14992	32358.21862	37897.03259	104441.9133	156916.0573	144702.3674	177723.9761	409159.4207	952378.3039	945333.6344	658505.6936	366721.2636	355333.3989	351735.1135	248313.8266	148992.5072	122728.4592	94973.08134	49584.32125	62507.64191	30868.08767	12633.83934	11169.53986	69111.2384	116498.7729	157470.4778	61315.8006	39145.98116	24918.92645	23182.71644	14156.91478	11406.50862	9335.087781	8341.158138	9090.219866	8012.186263	7339.794366	8119.077035	5130.634764	5744.589429	6653.065844	8306.307491	6676.903068	10124.87778
A2RRP1	83527.21943	145584.4132	175470.5977	130206.5093	123198.7648	51797.21309	61518.8243	15421.43753	11077.75564	12592.78271	4786.503723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42849.61013	45796.16352	26905.23148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2RU67	21234.24723	46196.97132	66847.19737	76075.15916	67479.61393	71359.95269	67990.8511	55293.39208	47268.15987	44713.77798	37820.3999	29387.91032	26137.15402	11643.2986	10548.76519	9522.707175	8480.817591	5513.924111	5134.149773	4679.790749	4167.407169	1497.301216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2RUC4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56949.78875	198165.0049	294813.2362	177892.3227	60853.99265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2RUS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9316.351387	23441.12972	59796.80362	127273.9415	139659.2778	106171.4861	24924.6429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3KMH1	9535.136514	22952.97822	30214.62594	34076.03185	29603.4712	37768.54207	44067.57045	43906.96606	40716.57969	43451.77712	42675.20215	45720.34445	37738.58424	36923.63481	38377.44042	39678.29115	39547.34272	36877.62718	36771.83467	38990.84395	38338.61855	39640.8801	39259.06687	47203.4872	46326.88767	50673.07285	50477.0017	47684.926	54142.50231	62154.8627	59148.21392	66880.42722	60770.44579	49655.16857	51239.3437	35241.70498	29562.05176	15774.25828	14247.74187	35235.43076	31185.1303	44137.50471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3KN83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16645.65928	53505.4441	67869.49218	68573.11499	164334.2907	321806.8403	293019.5071	175731.7065	89070.19542	72896.89121	58489.04163	40031.47364	41143.69224	11362.62891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4D1P6	88013.57516	156102.3417	163633.0826	173737.3956	140575.8983	143290.2935	109117.6512	90241.0614	82701.03637	99748.07468	102187.8854	83758.26811	70817.61227	38497.79619	17750.80026	2168.499717	2651.642213	2777.749435	1633.417213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A5A3E0	2453693.27	1998520.409	1315447.201	1020263.715	866915.7579	802478.8416	713479.6736	587021.4328	513152.6623	458358.9903	378156.3321	364891.9287	276445.2946	251237.1389	190029.0276	189019.1691	199724.044	196633.0262	222865.7176	236467.6088	236165.8588	215703.4531	255699.7338	237399.6045	434916.3005	967440.8051	1422054.089	1394516.334	691172.712	388868.9661	372264.4182	349531.3289	382485.0061	379520.6503	500639.1633	479933.3383	480184.7629	441359.9221	600224.5785	673679.8818	746176.7343	719867.6394	639778.3028	656768.0226	953783.6206	4695272.202	11377088.35	28094063.34	22896608.14	10635423.14	5319653.118	2518219.007	1494365.63	848157.6947	758604.1514	491358.4644	301861.3536	249305.6102	36785.27033	36606.94302	27413.00989	64531.73487	15360.14218	39900.65602	4223.357529
A5D8V6	7387.051297	34460.46019	37871.64508	27092.19857	25478.67975	22947.10988	0	23910.78088	18682.44418	21115.1155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18467.3631	23653.40633	96380.98063	134609.1661	137254.8893	96526.18718	57621.18099	38678.31558	23084.88319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A5PLL7	59975.57158	97302.29973	167340.7043	199191.0375	233650.2606	257730.13	247685.9298	235510.2044	183723.9244	174489.4754	199684.005	184096.4308	147533.8979	152520.8675	131498.6632	110606.561	83751.98533	49874.06568	27572.857	23370.91339	25842.64061	29524.26426	8408.005253	10483.77111	3165.347822	2052.076241	5778.977896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A5PLN9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A5YKK6	195456.0522	373485.9172	514115.8145	516244.2995	479021.5742	456695.4207	374367.2339	260612.6383	174268.3961	147971.0424	186792.5368	193856.6324	166563.2517	153309.2459	108489.9828	96027.85689	71459.42278	64598.71886	57764.42204	72189.85334	62023.96196	49911.55172	15298.09341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6NDG6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13305.93671	62055.94749	264496.2905	1417635.603	5090268.279	7351757.933	3741998.999	949896.7312	372858.4334	249657.3272	166545.591	138024.892	89630.19266	69487.39571	64378.71927	48714.0165	41374.29597	212783.6363	37331.97406	34311.08697	23097.92298	21453.59115	16433.27428	7298.48686	4661.231438
A6NDU8	3212.600517	5733.268931	15627.49202	13435.93567	16792.72085	19365.19785	20911.78729	18322.65132	17187.54039	17263.75119	19485.28323	20906.79037	17257.51675	15506.00383	16827.78512	15156.80558	14288.71367	12271.4228	13537.82592	15676.06222	14813.14366	14387.94478	13964.94275	14084.74783	15313.25132	13234.74476	13215.57632	13350.98931	9909.632477	11126.77051	10355.79309	11257.60715	11401.66381	10446.79317	14720.31132	16966.20378	17310.5862	15421.14284	26751.80872	27789.28926	27540.43089	26148.5446	31271.49396	32912.3888	33838.51842	44974.45835	93413.73119	213364.9289	198137.821	121320.8264	49027.48728	19633.46007	15027.64325	0	0	0	0	0	0	0	0	0	0	0	0
