Uniprot ID	iBAQ C_CLPP_KO_01_01	iBAQ C_CLPP_KO_01_02	iBAQ C_CLPP_KO_01_03	iBAQ C_CLPP_KO_01_04	iBAQ C_CLPP_KO_01_05	iBAQ C_CLPP_KO_01_06	iBAQ C_CLPP_KO_01_07	iBAQ C_CLPP_KO_01_08	iBAQ C_CLPP_KO_01_09	iBAQ C_CLPP_KO_01_10	iBAQ C_CLPP_KO_01_11	iBAQ C_CLPP_KO_01_12	iBAQ C_CLPP_KO_01_13	iBAQ C_CLPP_KO_01_14	iBAQ C_CLPP_KO_01_15	iBAQ C_CLPP_KO_01_16	iBAQ C_CLPP_KO_01_17	iBAQ C_CLPP_KO_01_18	iBAQ C_CLPP_KO_01_19	iBAQ C_CLPP_KO_01_20	iBAQ C_CLPP_KO_01_21	iBAQ C_CLPP_KO_01_22	iBAQ C_CLPP_KO_01_23	iBAQ C_CLPP_KO_01_24	iBAQ C_CLPP_KO_01_25	iBAQ C_CLPP_KO_01_26	iBAQ C_CLPP_KO_01_27	iBAQ C_CLPP_KO_01_28	iBAQ C_CLPP_KO_01_29	iBAQ C_CLPP_KO_01_30	iBAQ C_CLPP_KO_01_31	iBAQ C_CLPP_KO_01_32	iBAQ C_CLPP_KO_01_33	iBAQ C_CLPP_KO_01_34	iBAQ C_CLPP_KO_01_35	iBAQ C_CLPP_KO_01_36	iBAQ C_CLPP_KO_01_37	iBAQ C_CLPP_KO_01_38	iBAQ C_CLPP_KO_01_39	iBAQ C_CLPP_KO_01_40	iBAQ C_CLPP_KO_01_41	iBAQ C_CLPP_KO_01_42	iBAQ C_CLPP_KO_01_43	iBAQ C_CLPP_KO_01_44	iBAQ C_CLPP_KO_01_45	iBAQ C_CLPP_KO_01_46	iBAQ C_CLPP_KO_01_47	iBAQ C_CLPP_KO_01_48	iBAQ C_CLPP_KO_01_49	iBAQ C_CLPP_KO_01_50	iBAQ C_CLPP_KO_01_51	iBAQ C_CLPP_KO_01_52	iBAQ C_CLPP_KO_01_53	iBAQ C_CLPP_KO_01_54	iBAQ C_CLPP_KO_01_55	iBAQ C_CLPP_KO_01_56	iBAQ C_CLPP_KO_01_57	iBAQ C_CLPP_KO_01_58	iBAQ C_CLPP_KO_01_59	iBAQ C_CLPP_KO_01_60
Q99L45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16254.0727	0	0	0	0
Q62351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9EP89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9555.701613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O70456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q3TLP5	0	0	128903.8265	154899.0553	1801831.684	1513434.769	2291372.748	1304276.458	791562.0528	743725.4138	664227.1958	149955.1082	162269.8258	146839.7442	210851.443	150067.9837	140213.9521	0	0	0	0	0	0	1234293.645	0	0	0	0	0	0	0	0	0	0	0	44592.59694	0	0	25314.58947	0	0	0	0	0	5529.206605	10259.59326	0	0	20144.89135	0	0	0	9078.012477	0	7173.238333	0	0	0	0	0
UPI00000259BB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32837.74187	0	0	0	0	0	0
UPI00001EF87C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9CQX8	0	0	469404.0744	606446.2249	1374146.396	384408.8193	1796187.909	1995074.548	1666832.58	1264318.53	1030677.522	802477.1141	533246.46	546012.6796	363346.2501	338050.8494	185217.4159	250391.7324	163274.4178	172891.4108	273847.2623	149797.0825	172078.7071	207307.1522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124501.6818	339958.4455	1289376.892	1625858.772	814046.8534	72613.94102	15356.71243	0
UPI0003D781E1	0	0	213199.2535	171988.4067	221281.1397	216833.8448	184032.2231	115505.5041	36450.88678	136951.85	168715.0171	115561.9419	158003.1317	220728.0497	167439.5239	115076.5772	77341.16716	146038.3282	204564.2774	395560.9192	722899.8832	563440.6575	1098436.688	500760.8897	237557.7875	31797.02971	9382.77634	102521.4348	93414.63905	74550.88468	100267.311	75206.69137	110224.0592	82471.35886	80704.85721	30463.97	25792.05286	71728.99706	71975.06566	14063.15915	0	24890.17757	93764.55312	39747.98027	73155.74344	314369.5685	685492.9409	1158102.68	2475134.07	3160062.634	3504671.55	1655883.656	3258715.825	29452605.48	100056233.8	98534671.95	33466458.43	355828.7415	367172.7297	140654.1666
Q9D6T9	0	0	0	0	0	0	0	0	65061.44099	98162.18279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44779.97028	179483.3402	297776.8693	111322.3379	0	0	0
