Uniprot ID	iBAQ B_CLPP_WT_02_01	iBAQ B_CLPP_WT_02_02	iBAQ B_CLPP_WT_02_03	iBAQ B_CLPP_WT_02_04	iBAQ B_CLPP_WT_02_05	iBAQ B_CLPP_WT_02_06	iBAQ B_CLPP_WT_02_07	iBAQ B_CLPP_WT_02_08	iBAQ B_CLPP_WT_02_09	iBAQ B_CLPP_WT_02_10	iBAQ B_CLPP_WT_02_11	iBAQ B_CLPP_WT_02_12	iBAQ B_CLPP_WT_02_13	iBAQ B_CLPP_WT_02_14	iBAQ B_CLPP_WT_02_15	iBAQ B_CLPP_WT_02_16	iBAQ B_CLPP_WT_02_17	iBAQ B_CLPP_WT_02_18	iBAQ B_CLPP_WT_02_19	iBAQ B_CLPP_WT_02_20	iBAQ B_CLPP_WT_02_21	iBAQ B_CLPP_WT_02_22	iBAQ B_CLPP_WT_02_23	iBAQ B_CLPP_WT_02_24	iBAQ B_CLPP_WT_02_25	iBAQ B_CLPP_WT_02_26	iBAQ B_CLPP_WT_02_27	iBAQ B_CLPP_WT_02_28	iBAQ B_CLPP_WT_02_29	iBAQ B_CLPP_WT_02_30	iBAQ B_CLPP_WT_02_31	iBAQ B_CLPP_WT_02_32	iBAQ B_CLPP_WT_02_33	iBAQ B_CLPP_WT_02_34	iBAQ B_CLPP_WT_02_35	iBAQ B_CLPP_WT_02_36	iBAQ B_CLPP_WT_02_37	iBAQ B_CLPP_WT_02_38	iBAQ B_CLPP_WT_02_39	iBAQ B_CLPP_WT_02_40	iBAQ B_CLPP_WT_02_41	iBAQ B_CLPP_WT_02_42	iBAQ B_CLPP_WT_02_43	iBAQ B_CLPP_WT_02_44	iBAQ B_CLPP_WT_02_45	iBAQ B_CLPP_WT_02_46	iBAQ B_CLPP_WT_02_47	iBAQ B_CLPP_WT_02_48	iBAQ B_CLPP_WT_02_49	iBAQ B_CLPP_WT_02_50	iBAQ B_CLPP_WT_02_51	iBAQ B_CLPP_WT_02_52	iBAQ B_CLPP_WT_02_53	iBAQ B_CLPP_WT_02_54	iBAQ B_CLPP_WT_02_55	iBAQ B_CLPP_WT_02_56	iBAQ B_CLPP_WT_02_57	iBAQ B_CLPP_WT_02_58	iBAQ B_CLPP_WT_02_59	iBAQ B_CLPP_WT_02_60
Q99L45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1893.930515	0	0	0	0	0	0	0
Q62351	0	0	5330.558687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9EP89	0	0	0	0	0	0	0	0	0	0	0	0	23542.40136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O70456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q3TLP5	0	0	13828.32026	78870.45322	78068.00047	104915.3709	267039.2317	13190.7609	113738.0904	105682.3169	103766.3722	0	0	0	0	203340.1064	8945.004707	0	0	0	0	0	0	0	0	0	0	0	0	4911.010825	0	0	0	0	81958.12096	0	0	0	0	51676.53678	0	0	0	0	73068.64883	127787.4047	196650.633	378686.6841	0	20397.9228	41315.66455	0	0	49791.83802	0	0	0	0	1501083.736	9874.71368
UPI00000259BB	0	0	0	0	0	0	0	0	0	0	21578.16747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62609.77795	0	0	0	0	0	0	0	0	0	0
UPI00001EF87C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5192.508409	0	0	0
Q9CQX8	0	0	0	1828456.052	1937674.842	2373413.786	2995918.282	1779456.725	1968778.763	2018062.144	1617829.959	1028105.303	603203.0214	755058.3275	496327.6774	382322.5762	246629.9467	375590.4947	230964.3647	341759.6549	219176.1208	159652.5903	218679.0262	0	150889.5223	21721.61477	0	0	0	0	0	0	0	0	0	63929.20911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68383.17693	102204.0748	2775066.242	6624140.924	13420134.56	754873.6924	0	0
UPI0003D781E1	0	0	24793.65954	229260.0403	221874.6345	218991.4857	0	98592.32733	20321.2282	42109.59568	57856.13308	53865.17339	74753.08946	94047.4622	58289.31554	76960.18959	259142.5285	153857.8873	405615.01	505360.5968	905251.9173	467709.2298	763821.3956	403101.1315	420186.9838	184734.5648	241048.2842	8323.494401	194122.5518	125114.4559	95388.19742	86706.08475	0	67266.84444	78058.05857	183669.362	50043.22587	91613.11882	58726.75881	31412.11939	27046.20832	32887.78028	29401.01657	23346.40405	0	53247.35579	124564.8113	256969.5149	64623.72131	3815272.248	2299701.755	2727771.239	3553232.368	3267047.892	73152444.78	164694550.1	152593846.7	30809924.76	923630.2157	187461.4838
Q9D6T9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	623882.1578	1049963.264	169353.0368	0	0
