Class	ComplexID	E1	E1E2	E2	complexName
1	0	P41182	P41182P56524	P56524	BCL6-HDAC4 complex
1	1	P41182	P41182Q9UQL6	Q9UQL6	BCL6-HDAC5 complex
1	2	P41182	P41182Q8WUI4	Q8WUI4	BCL6-HDAC7 complex
1	3	Q09472	Q09472Q92793	Q92793	Multisubunit ACTR coactivator complex
1	3	Q09472	Q09472Q92831	Q92831	Multisubunit ACTR coactivator complex
1	3	Q09472	Q09472Q9Y6Q9	Q9Y6Q9	Multisubunit ACTR coactivator complex
1	3	Q92793	Q92793Q92831	Q92831	Multisubunit ACTR coactivator complex
1	3	Q92793	Q92793Q9Y6Q9	Q9Y6Q9	Multisubunit ACTR coactivator complex
1	3	Q92831	Q92831Q9Y6Q9	Q9Y6Q9	Multisubunit ACTR coactivator complex
1	5	O95347	O95347Q15003	Q15003	Condensin I complex
1	5	O95347	O95347Q15021	Q15021	Condensin I complex
1	5	O95347	O95347Q9BPX3	Q9BPX3	Condensin I complex
1	5	O95347	O95347Q9NTJ3	Q9NTJ3	Condensin I complex
1	5	Q15003	Q15003Q15021	Q15021	Condensin I complex
1	5	Q15003	Q15003Q9BPX3	Q9BPX3	Condensin I complex
1	5	Q15003	Q15003Q9NTJ3	Q9NTJ3	Condensin I complex
1	5	Q15021	Q15021Q9BPX3	Q9BPX3	Condensin I complex
1	5	Q15021	Q15021Q9NTJ3	Q9NTJ3	Condensin I complex
1	5	Q9BPX3	Q9BPX3Q9NTJ3	Q9NTJ3	Condensin I complex
1	6	Q92902	Q92902Q9NQG7	Q9NQG7	BLOC-3 (biogenesis of lysosome-related organelles complex 3)
1	7	Q86YV9	Q86YV9Q969F9	Q969F9	BLOC-2 (biogenesis of lysosome-related organelles complex 2)
1	7	Q86YV9	Q86YV9Q9UPZ3	Q9UPZ3	BLOC-2 (biogenesis of lysosome-related organelles complex 2)
1	7	Q969F9	Q969F9Q9UPZ3	Q9UPZ3	BLOC-2 (biogenesis of lysosome-related organelles complex 2)
1	8	Q92903	Q92903Q96NY9	Q96NY9	MUS81-CDS1 complex
1	10	O15379	O15379O60907	O60907	NCOR complex
1	10	O15379	O15379O75376	O75376	NCOR complex
1	10	O15379	O15379Q13227	Q13227	NCOR complex
1	10	O15379	O15379Q92828	Q92828	NCOR complex
1	10	O15379	O15379Q9BZK7	Q9BZK7	NCOR complex
1	10	O60907	O60907O75376	O75376	NCOR complex
1	10	O60907	O60907Q13227	Q13227	NCOR complex
1	10	O60907	O60907Q92828	Q92828	NCOR complex
1	10	O60907	O60907Q9BZK7	Q9BZK7	NCOR complex
1	10	O75376	O75376Q13227	Q13227	NCOR complex
1	10	O75376	O75376Q92828	Q92828	NCOR complex
1	10	O75376	O75376Q9BZK7	Q9BZK7	NCOR complex
1	10	Q13227	Q13227Q92828	Q92828	NCOR complex
1	10	Q13227	Q13227Q9BZK7	Q9BZK7	NCOR complex
1	10	Q92828	Q92828Q9BZK7	Q9BZK7	NCOR complex
1	11	O95295	O95295P78537	P78537	BLOC-1 (biogenesis of lysosome-related organelles complex 1)
1	11	O95295	O95295Q6QNY0	Q6QNY0	BLOC-1 (biogenesis of lysosome-related organelles complex 1)
1	11	O95295	O95295Q6QNY1	Q6QNY1	BLOC-1 (biogenesis of lysosome-related organelles complex 1)
1	11	O95295	O95295Q8TDH9	Q8TDH9	BLOC-1 (biogenesis of lysosome-related organelles complex 1)
1	11	O95295	O95295Q96EV8	Q96EV8	BLOC-1 (biogenesis of lysosome-related organelles complex 1)
1	11	O95295	O95295Q9NUP1	Q9NUP1	BLOC-1 (biogenesis of lysosome-related organelles complex 1)
1	11	O95295	O95295Q9UL45	Q9UL45	BLOC-1 (biogenesis of lysosome-related organelles complex 1)
1	11	P78537	P78537Q6QNY0	Q6QNY0	BLOC-1 (biogenesis of lysosome-related organelles complex 1)
1	11	P78537	P78537Q6QNY1	Q6QNY1	BLOC-1 (biogenesis of lysosome-related organelles complex 1)
1	11	P78537	P78537Q8TDH9	Q8TDH9	BLOC-1 (biogenesis of lysosome-related organelles complex 1)
1	11	P78537	P78537Q96EV8	Q96EV8	BLOC-1 (biogenesis of lysosome-related organelles complex 1)
1	11	P78537	P78537Q9NUP1	Q9NUP1	BLOC-1 (biogenesis of lysosome-related organelles complex 1)
1	11	P78537	P78537Q9UL45	Q9UL45	BLOC-1 (biogenesis of lysosome-related organelles complex 1)
1	11	Q6QNY0	Q6QNY0Q6QNY1	Q6QNY1	BLOC-1 (biogenesis of lysosome-related organelles complex 1)
1	11	Q6QNY0	Q6QNY0Q8TDH9	Q8TDH9	BLOC-1 (biogenesis of lysosome-related organelles complex 1)
1	11	Q6QNY0	Q6QNY0Q96EV8	Q96EV8	BLOC-1 (biogenesis of lysosome-related organelles complex 1)
1	11	Q6QNY0	Q6QNY0Q9NUP1	Q9NUP1	BLOC-1 (biogenesis of lysosome-related organelles complex 1)
1	11	Q6QNY0	Q6QNY0Q9UL45	Q9UL45	BLOC-1 (biogenesis of lysosome-related organelles complex 1)
1	11	Q6QNY1	Q6QNY1Q8TDH9	Q8TDH9	BLOC-1 (biogenesis of lysosome-related organelles complex 1)
1	11	Q6QNY1	Q6QNY1Q96EV8	Q96EV8	BLOC-1 (biogenesis of lysosome-related organelles complex 1)
1	11	Q6QNY1	Q6QNY1Q9NUP1	Q9NUP1	BLOC-1 (biogenesis of lysosome-related organelles complex 1)
1	11	Q6QNY1	Q6QNY1Q9UL45	Q9UL45	BLOC-1 (biogenesis of lysosome-related organelles complex 1)
1	11	Q8TDH9	Q8TDH9Q96EV8	Q96EV8	BLOC-1 (biogenesis of lysosome-related organelles complex 1)
1	11	Q8TDH9	Q8TDH9Q9NUP1	Q9NUP1	BLOC-1 (biogenesis of lysosome-related organelles complex 1)
1	11	Q8TDH9	Q8TDH9Q9UL45	Q9UL45	BLOC-1 (biogenesis of lysosome-related organelles complex 1)
1	11	Q96EV8	Q96EV8Q9NUP1	Q9NUP1	BLOC-1 (biogenesis of lysosome-related organelles complex 1)
