InteractionID	ComplexName	Entry1	Entry2	Class	E1;E2
0	6S-nuclear aryl hydrocarbon (Ah) receptor ligand-activated complex	P30561	P53762	Interactors	P30561;P53762
1	BLOC-2 (biogenesis of lysosome-related organelles complex 2)	P59438	Q8BLY7	Interactors	P59438;Q8BLY7
2	BLOC-2 (biogenesis of lysosome-related organelles complex 2)	P59438	Q91VB4	Interactors	P59438;Q91VB4
3	BLOC-2 (biogenesis of lysosome-related organelles complex 2)	Q8BLY7	Q91VB4	Interactors	Q8BLY7;Q91VB4
4	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	O55102	Q5U5M8	Interactors	O55102;Q5U5M8
5	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	O55102	Q8R015	Interactors	O55102;Q8R015
6	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	O55102	Q8VED2	Interactors	O55102;Q8VED2
7	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	O55102	Q91WZ8	Interactors	O55102;Q91WZ8
8	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	O55102	Q9CWG9	Interactors	O55102;Q9CWG9
9	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	O55102	Q9R0C0	Interactors	O55102;Q9R0C0
10	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	O55102	Q9Z266	Interactors	O55102;Q9Z266
11	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Q5U5M8	Q8R015	Interactors	Q5U5M8;Q8R015
12	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Q5U5M8	Q8VED2	Interactors	Q5U5M8;Q8VED2
13	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Q5U5M8	Q91WZ8	Interactors	Q5U5M8;Q91WZ8
14	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Q5U5M8	Q9CWG9	Interactors	Q5U5M8;Q9CWG9
15	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Q5U5M8	Q9R0C0	Interactors	Q5U5M8;Q9R0C0
16	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Q5U5M8	Q9Z266	Interactors	Q5U5M8;Q9Z266
17	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Q8R015	Q8VED2	Interactors	Q8R015;Q8VED2
18	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Q8R015	Q91WZ8	Interactors	Q8R015;Q91WZ8
19	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Q8R015	Q9CWG9	Interactors	Q8R015;Q9CWG9
20	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Q8R015	Q9R0C0	Interactors	Q8R015;Q9R0C0
21	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Q8R015	Q9Z266	Interactors	Q8R015;Q9Z266
22	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Q8VED2	Q91WZ8	Interactors	Q8VED2;Q91WZ8
23	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Q8VED2	Q9CWG9	Interactors	Q8VED2;Q9CWG9
24	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Q8VED2	Q9R0C0	Interactors	Q8VED2;Q9R0C0
25	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Q8VED2	Q9Z266	Interactors	Q8VED2;Q9Z266
