ComplexID	E1	E2	E1E2	complexName	Class
1	Q9BQS8	O95900	O95900Q9BQS8	HuMAP2_00000	1
8	Q96Q42	Q8NFX7	Q8NFX7Q96Q42	HuMAP2_00007	1
11	Q9NYB9	Q8WUW1	Q8WUW1Q9NYB9	HuMAP2_00010	1
11	Q9NYB9	Q7L576	Q7L576Q9NYB9	HuMAP2_00010	1
11	Q8WUW1	Q7L576	Q7L576Q8WUW1	HuMAP2_00010	1
14	Q9NV70	Q9HCH0	Q9HCH0Q9NV70	HuMAP2_00013	1
19	P15289	P34059	P15289P34059	HuMAP2_00018	1
27	P04040	Q9UJ68	P04040Q9UJ68	HuMAP2_00027	1
27	P04040	P14416	P04040P14416	HuMAP2_00027	1
27	Q9UJ68	P14416	P14416Q9UJ68	HuMAP2_00027	1
29	O95467	Q9UNF1	O95467Q9UNF1	HuMAP2_00029	1
29	O95467	P38405	O95467P38405	HuMAP2_00029	1
29	O95467	Q9NX40	O95467Q9NX40	HuMAP2_00029	1
29	Q9UNF1	P38405	P38405Q9UNF1	HuMAP2_00029	1
29	Q9UNF1	Q9NX40	Q9NX40Q9UNF1	HuMAP2_00029	1
29	P38405	Q9NX40	P38405Q9NX40	HuMAP2_00029	1
32	Q96J01	Q8NI27	Q8NI27Q96J01	HuMAP2_00032	1
32	Q96J01	Q6I9Y2	Q6I9Y2Q96J01	HuMAP2_00032	1
32	Q96J01	Q13769	Q13769Q96J01	HuMAP2_00032	1
32	Q96J01	O75152	O75152Q96J01	HuMAP2_00032	1
32	Q96J01	Q96FV9	Q96FV9Q96J01	HuMAP2_00032	1
32	Q96J01	Q9BY77	Q96J01Q9BY77	HuMAP2_00032	1
32	Q96J01	Q86W42	Q86W42Q96J01	HuMAP2_00032	1
32	Q8NI27	Q6I9Y2	Q6I9Y2Q8NI27	HuMAP2_00032	1
32	Q8NI27	Q13769	Q13769Q8NI27	HuMAP2_00032	1
32	Q8NI27	O75152	O75152Q8NI27	HuMAP2_00032	1
32	Q8NI27	Q96FV9	Q8NI27Q96FV9	HuMAP2_00032	1
32	Q8NI27	Q9BY77	Q8NI27Q9BY77	HuMAP2_00032	1
32	Q8NI27	Q86W42	Q86W42Q8NI27	HuMAP2_00032	1
32	Q6I9Y2	Q13769	Q13769Q6I9Y2	HuMAP2_00032	1
32	Q6I9Y2	O75152	O75152Q6I9Y2	HuMAP2_00032	1
32	Q6I9Y2	Q96FV9	Q6I9Y2Q96FV9	HuMAP2_00032	1
32	Q6I9Y2	Q9BY77	Q6I9Y2Q9BY77	HuMAP2_00032	1
32	Q6I9Y2	Q86W42	Q6I9Y2Q86W42	HuMAP2_00032	1
32	Q13769	O75152	O75152Q13769	HuMAP2_00032	1
32	Q13769	Q96FV9	Q13769Q96FV9	HuMAP2_00032	1
32	Q13769	Q9BY77	Q13769Q9BY77	HuMAP2_00032	1
32	Q13769	Q86W42	Q13769Q86W42	HuMAP2_00032	1
32	O75152	Q96FV9	O75152Q96FV9	HuMAP2_00032	1
32	O75152	Q9BY77	O75152Q9BY77	HuMAP2_00032	1
32	O75152	Q86W42	O75152Q86W42	HuMAP2_00032	1
32	Q96FV9	Q9BY77	Q96FV9Q9BY77	HuMAP2_00032	1
32	Q96FV9	Q86W42	Q86W42Q96FV9	HuMAP2_00032	1
32	Q9BY77	Q86W42	Q86W42Q9BY77	HuMAP2_00032	1
33	Q86XE0	Q13596	Q13596Q86XE0	HuMAP2_00033	1
36	Q9UIU6	Q86VP3	Q86VP3Q9UIU6	HuMAP2_00036	1
36	Q9UIU6	Q96FV0	Q96FV0Q9UIU6	HuMAP2_00036	1
36	Q86VP3	Q96FV0	Q86VP3Q96FV0	HuMAP2_00036	1
37	P22694	P10644	P10644P22694	HuMAP2_00037	1
38	O75420	O60573	O60573O75420	HuMAP2_00038	1
38	O75420	Q9NRA8	O75420Q9NRA8	HuMAP2_00038	1
38	O75420	Q6Y7W6	O75420Q6Y7W6	HuMAP2_00038	1
38	O60573	Q9NRA8	O60573Q9NRA8	HuMAP2_00038	1
38	O60573	Q6Y7W6	O60573Q6Y7W6	HuMAP2_00038	1
38	Q9NRA8	Q6Y7W6	Q6Y7W6Q9NRA8	HuMAP2_00038	1
39	Q5VX52	Q6P3W7	Q5VX52Q6P3W7	HuMAP2_00039	1
42	P05198	Q9NVM4	P05198Q9NVM4	HuMAP2_00042	1
42	P05198	O75794	O75794P05198	HuMAP2_00042	1
42	P05198	P41091	P05198P41091	HuMAP2_00042	1
42	P05198	P20042	P05198P20042	HuMAP2_00042	1
42	Q9NVM4	O75794	O75794Q9NVM4	HuMAP2_00042	1
42	Q9NVM4	P41091	P41091Q9NVM4	HuMAP2_00042	1
42	Q9NVM4	P20042	P20042Q9NVM4	HuMAP2_00042	1
42	O75794	P41091	O75794P41091	HuMAP2_00042	1
42	O75794	P20042	O75794P20042	HuMAP2_00042	1
42	P41091	P20042	P20042P41091	HuMAP2_00042	1
46	P25445	Q8WWB7	P25445Q8WWB7	HuMAP2_00046	1
46	P25445	P05362	P05362P25445	HuMAP2_00046	1
46	P25445	Q13291	P25445Q13291	HuMAP2_00046	1
46	Q8WWB7	P05362	P05362Q8WWB7	HuMAP2_00046	1
46	Q8WWB7	Q13291	Q13291Q8WWB7	HuMAP2_00046	1
46	P05362	Q13291	P05362Q13291	HuMAP2_00046	1
