ComplexID	E1	E2	E1E2	complexName	Class
1	Q9BQS8	O95900	O95900Q9BQS8	HuMAP2_00000	1
2	P08133	Q15797	P08133Q15797	HuMAP2_00001	1
2	P08133	Q99426	P08133Q99426	HuMAP2_00001	1
2	P08133	Q9H4M9	P08133Q9H4M9	HuMAP2_00001	1
2	P08133	P68402	P08133P68402	HuMAP2_00001	1
2	P08133	Q15102	P08133Q15102	HuMAP2_00001	1
2	Q15797	Q99426	Q15797Q99426	HuMAP2_00001	1
2	Q15797	Q9H4M9	Q15797Q9H4M9	HuMAP2_00001	1
2	Q15797	P68402	P68402Q15797	HuMAP2_00001	1
2	Q15797	Q15102	Q15102Q15797	HuMAP2_00001	1
2	Q99426	Q9H4M9	Q99426Q9H4M9	HuMAP2_00001	1
2	Q99426	P68402	P68402Q99426	HuMAP2_00001	1
2	Q99426	Q15102	Q15102Q99426	HuMAP2_00001	1
2	Q9H4M9	P68402	P68402Q9H4M9	HuMAP2_00001	1
2	Q9H4M9	Q15102	Q15102Q9H4M9	HuMAP2_00001	1
2	P68402	Q15102	P68402Q15102	HuMAP2_00001	1
5	Q8WV99	Q9NQT8	Q8WV99Q9NQT8	HuMAP2_00004	1
5	Q8WV99	Q9H672	Q8WV99Q9H672	HuMAP2_00004	1
5	Q8WV99	P20774	P20774Q8WV99	HuMAP2_00004	1
5	Q8WV99	Q49A92	Q49A92Q8WV99	HuMAP2_00004	1
5	Q9NQT8	Q9H672	Q9H672Q9NQT8	HuMAP2_00004	1
5	Q9NQT8	P20774	P20774Q9NQT8	HuMAP2_00004	1
5	Q9NQT8	Q49A92	Q49A92Q9NQT8	HuMAP2_00004	1
5	Q9H672	P20774	P20774Q9H672	HuMAP2_00004	1
5	Q9H672	Q49A92	Q49A92Q9H672	HuMAP2_00004	1
5	P20774	Q49A92	P20774Q49A92	HuMAP2_00004	1
6	Q9UHN6	P02741	P02741Q9UHN6	HuMAP2_00005	1
6	Q9UHN6	Q7LGC8	Q7LGC8Q9UHN6	HuMAP2_00005	1
6	P02741	Q7LGC8	P02741Q7LGC8	HuMAP2_00005	1
7	P07199	Q96C28	P07199Q96C28	HuMAP2_00006	1
7	P07199	O43296	O43296P07199	HuMAP2_00006	1
7	P07199		P07199	HuMAP2_00006	1
7	P07199	Q5CZA5	P07199Q5CZA5	HuMAP2_00006	1
7	Q96C28	O43296	O43296Q96C28	HuMAP2_00006	1
7	Q96C28		Q96C28	HuMAP2_00006	1
7	Q96C28	Q5CZA5	Q5CZA5Q96C28	HuMAP2_00006	1
7	O43296		O43296	HuMAP2_00006	1
7	O43296	Q5CZA5	O43296Q5CZA5	HuMAP2_00006	1
7		Q5CZA5	Q5CZA5	HuMAP2_00006	1
8	Q96Q42	Q8NFX7	Q8NFX7Q96Q42	HuMAP2_00007	1
11	Q9NYB9	Q8WUW1	Q8WUW1Q9NYB9	HuMAP2_00010	1
11	Q9NYB9	Q7L576	Q7L576Q9NYB9	HuMAP2_00010	1
11	Q8WUW1	Q7L576	Q7L576Q8WUW1	HuMAP2_00010	1
14	Q9NV70	Q9HCH0	Q9HCH0Q9NV70	HuMAP2_00013	1
15	Q16527	P08243	P08243Q16527	HuMAP2_00014	1
16	Q96MN5	Q712K3	Q712K3Q96MN5	HuMAP2_00015	1
17	P23229	A1L157	A1L157P23229	HuMAP2_00016	1
19	P15289	P34059	P15289P34059	HuMAP2_00018	1
20	P21359	P40259	P21359P40259	HuMAP2_00019	1
20	P21359	Q9Y263	P21359Q9Y263	HuMAP2_00019	1
20	P40259	Q9Y263	P40259Q9Y263	HuMAP2_00019	1
24	Q9NZZ3	Q9BY43	Q9BY43Q9NZZ3	HuMAP2_00024	1
24	Q9NZZ3	Q9H444	Q9H444Q9NZZ3	HuMAP2_00024	1
24	Q9NZZ3	Q92620	Q92620Q9NZZ3	HuMAP2_00024	1
24	Q9NZZ3	Q9H169	Q9H169Q9NZZ3	HuMAP2_00024	1
24	Q9BY43	Q9H444	Q9BY43Q9H444	HuMAP2_00024	1
24	Q9BY43	Q92620	Q92620Q9BY43	HuMAP2_00024	1
24	Q9BY43	Q9H169	Q9BY43Q9H169	HuMAP2_00024	1
24	Q9H444	Q92620	Q92620Q9H444	HuMAP2_00024	1
24	Q9H444	Q9H169	Q9H169Q9H444	HuMAP2_00024	1
24	Q92620	Q9H169	Q92620Q9H169	HuMAP2_00024	1
26	Q9UQ74	Q00888	Q00888Q9UQ74	HuMAP2_00026	1
26	Q9UQ74	Q9NYQ7	Q9NYQ7Q9UQ74	HuMAP2_00026	1
26	Q9UQ74	Q9NXL9	Q9NXL9Q9UQ74	HuMAP2_00026	1
26	Q9UQ74	Q96PX1	Q96PX1Q9UQ74	HuMAP2_00026	1
26	Q00888	Q9NYQ7	Q00888Q9NYQ7	HuMAP2_00026	1
26	Q00888	Q9NXL9	Q00888Q9NXL9	HuMAP2_00026	1
26	Q00888	Q96PX1	Q00888Q96PX1	HuMAP2_00026	1
26	Q9NYQ7	Q9NXL9	Q9NXL9Q9NYQ7	HuMAP2_00026	1
26	Q9NYQ7	Q96PX1	Q96PX1Q9NYQ7	HuMAP2_00026	1
26	Q9NXL9	Q96PX1	Q96PX1Q9NXL9	HuMAP2_00026	1
27	P04040	Q9UJ68	P04040Q9UJ68	HuMAP2_00027	1
27	P04040	P14416	P04040P14416	HuMAP2_00027	1
27	Q9UJ68	P14416	P14416Q9UJ68	HuMAP2_00027	1
29	O95467	Q9UNF1	O95467Q9UNF1	HuMAP2_00029	1
29	O95467	P38405	O95467P38405	HuMAP2_00029	1
29	O95467	Q9NX40	O95467Q9NX40	HuMAP2_00029	1
29	Q9UNF1	P38405	P38405Q9UNF1	HuMAP2_00029	1
29	Q9UNF1	Q9NX40	Q9NX40Q9UNF1	HuMAP2_00029	1
29	P38405	Q9NX40	P38405Q9NX40	HuMAP2_00029	1
30	Q10713	Q8WV74	Q10713Q8WV74	HuMAP2_00030	1
30	Q10713	Q14527	Q10713Q14527	HuMAP2_00030	1
30	Q8WV74	Q14527	Q14527Q8WV74	HuMAP2_00030	1
31	Q16851	Q9UN36	Q16851Q9UN36	HuMAP2_00031	1
31	Q16851	Q86YR5	Q16851Q86YR5	HuMAP2_00031	1
31	Q16851	Q86UD0	Q16851Q86UD0	HuMAP2_00031	1
31	Q9UN36	Q86YR5	Q86YR5Q9UN36	HuMAP2_00031	1
31	Q9UN36	Q86UD0	Q86UD0Q9UN36	HuMAP2_00031	1
31	Q86YR5	Q86UD0	Q86UD0Q86YR5	HuMAP2_00031	1
32	Q96J01	Q8NI27	Q8NI27Q96J01	HuMAP2_00032	1
32	Q96J01	Q6I9Y2	Q6I9Y2Q96J01	HuMAP2_00032	1
32	Q96J01	Q13769	Q13769Q96J01	HuMAP2_00032	1
32	Q96J01	O75152	O75152Q96J01	HuMAP2_00032	1
32	Q96J01	Q96FV9	Q96FV9Q96J01	HuMAP2_00032	1
32	Q96J01	Q9BY77	Q96J01Q9BY77	HuMAP2_00032	1
