	parent	child	lambda_val	child_size
0	607	608	0.11635702531617581	40
1	607	609	0.11635702531617581	567
2	608	137	2.072354846688647	1
3	609	610	0.16221539464746706	319
4	609	611	0.16221539464746706	248
5	608	29	2.127414446472568	1
6	610	612	0.27399082443536565	35
7	610	613	0.27399082443536565	284
8	611	614	0.4429607905113831	58
9	611	615	0.4429607905113831	190
10	608	356	4.507580258678823	1
11	612	139	1.451337124170548	1
12	613	616	0.42428678710190804	11
13	613	617	0.42428678710190804	273
14	614	122	2.626150448552103	1
15	615	618	1.2044522848987171	52
16	615	619	1.2044522848987171	138
17	608	138	5.993978435111726	1
18	612	274	3.840707594278441	1
19	616	224	14.856818218127199	1
20	617	257	0.6307482143440015	1
21	614	375	2.7323975097198514	1
22	618	234	2.1441147298839867	1
23	619	441	1.2044522848987171	1
24	608	379	6.3302021619647935	1
25	612	516	3.9357193219903186	1
26	616	18	14.856818218127199	1
27	617	83	0.6309829934061528	1
28	614	306	2.826197156655057	1
29	618	550	3.3075045331551958	1
30	619	5	1.578664320735937	1
31	608	20	6.774019132016506	1
32	612	456	3.9755770342860455	1
33	616	451	19.427054812797504	1
34	617	258	0.6310027172922453	1
35	614	308	2.9827764405709747	1
36	618	227	3.483824004250434	1
37	619	156	1.6788834312857646	1
38	608	517	6.9661485603006446	1
39	612	471	3.992240912877146	1
40	616	412	20.17105390538012	1
41	617	132	0.6329017280703652	1
42	614	303	2.994226738623194	1
43	618	214	3.6193301873892154	1
44	619	594	1.730693957949264	1
45	608	154	7.137421106474054	1
46	612	109	4.128942180197106	1
47	616	423	20.504901600043137	1
48	617	573	0.6616323571031965	1
49	614	45	2.9990440551651605	1
50	618	553	3.7422619164730997	1
51	619	376	1.906686312271597	1
52	608	491	7.179861174637939	1
53	612	0	4.4000964322266265	1
54	616	420	20.67563324187127	1
55	617	620	0.8720049960750048	18
56	617	621	0.8720049960750048	250
57	614	463	3.2375523545051648	1
58	618	265	4.046242319553699	1
59	619	408	2.060322605339998	1
60	608	110	7.382662785474528	1
61	612	392	4.400687218449915	1
62	616	564	22.673889376818757	1
63	620	592	4.77010319044112	1
64	621	622	0.9983702709786504	40
65	621	623	0.9983702709786504	210
66	614	145	3.3346855693934314	1
67	618	587	4.1230123581930656	1
68	619	142	2.195621881341721	1
69	608	269	7.920557081245558	1
70	612	528	4.508988394754672	1
71	616	410	25.862494906062913	1
72	616	129	25.862494906062913	1
73	616	327	25.862494906062913	1
74	616	302	25.862494906062913	1
75	620	3	7.746544000839336	1
76	622	600	1.250205675835176	1
77	623	350	1.249845316016052	1
78	614	173	3.869815289597783	1
79	618	624	4.189148224460368	18
80	618	625	4.189148224460368	27
81	619	626	2.1988815800520647	21
82	619	627	2.1988815800520647	110
83	608	310	7.9705817109039545	1
84	612	167	4.765906773284624	1
85	620	388	7.800342190305983	1
86	622	492	2.0474201857689147	1
87	623	361	1.3399877734028638	1
88	614	61	4.1017690114702505	1
89	624	78	4.189148224460368	1
90	625	103	4.403682140031308	1
91	626	264	2.481725628169873	1
92	627	321	2.2283782667106773	1
93	608	330	8.024879151690719	1
94	612	10	5.143130799241982	1
95	620	92	8.047532516642747	1
96	622	488	2.2792035817431486	1
97	623	87	1.348249771708354	1
98	614	194	4.1553710342951256	1
99	624	128	4.280926789515137	1
100	625	381	4.691319403858128	1
101	626	262	2.9638970438568126	1
102	627	348	2.2733686395238677	1
103	608	477	8.053540617076548	1
104	612	503	5.8080863314477185	1
105	620	153	8.247042029370602	1
106	622	436	2.6152366123176076	1
107	623	288	1.4252197173035168	1
108	614	52	4.193933998207144	1
109	624	565	4.551198381646633	1
110	625	37	4.996985204273629	1
111	626	364	2.98123528709699	1
112	627	131	2.368473534858573	1
113	608	378	8.359498765529779	1
114	612	329	5.8080863314477185	1
115	620	192	8.89552349085769	1
116	622	628	2.6377900994674275	10
117	622	629	2.6377900994674275	26
118	623	527	1.4398738235898167	1
119	614	582	4.557900083975408	1
120	624	151	4.879610368745073	1
121	625	136	5.230386033194479	1
122	626	165	3.675722695185355	1
123	627	33	2.368473534858573	1
124	608	14	8.549927392055789	1
125	612	96	5.851165278249336	1
126	620	68	10.211661678314734	1
127	628	104	2.6993907040202463	1
128	629	473	2.6377900994674275	1
129	623	454	1.4421882476053665	1
130	614	169	4.707161908919247	1
131	624	371	5.841686298714863	1
132	625	309	5.8286764649730065	1
133	626	590	4.507065805217568	1
134	627	313	2.3802418186983574	1
135	608	574	8.808630530777624	1
136	612	382	5.909259789714246	1
137	620	201	12.388371280912446	1
138	628	344	2.754480685723335	1
139	629	89	3.461457430045145	1
140	623	46	1.5034063821349806	1
141	614	599	4.73896343533593	1
142	624	333	6.062260891230333	1
143	625	114	6.0021323104616355	1
144	626	334	4.899233418280827	1
145	627	296	2.421725397300591	1
146	608	66	8.810442146147249	1
147	612	285	5.909259789714246	1
148	620	210	12.52056879011982	1
149	628	26	2.754480685723335	1
150	629	30	3.7409232112036204	1
151	623	431	1.5068600275434447	1
152	614	351	4.747325610512533	1
153	624	578	6.371260164724803	1
154	625	116	6.881550073988133	1
155	626	581	5.580774498862502	1
156	627	373	2.4898247102569235	1
157	608	384	8.860177006386753	1
158	612	421	7.903368150734884	1
159	620	69	12.607560106988803	1
160	628	495	3.1073680815658173	1
161	629	84	3.8275338571345037	1
162	623	184	1.5168706654406239	1
163	614	8	4.841778423924756	1
164	624	105	6.663608529987871	1
165	625	91	7.235695554429535	1
166	626	476	6.797688983277836	1
167	627	480	2.520756635143511	1
168	608	465	9.12411974240389	1
169	612	111	7.9673565895889205	1
170	620	345	12.611697073890987	1
171	628	240	3.1360153864664393	1
172	629	144	4.999522282341033	1
173	623	417	1.5207155769930618	1
174	614	261	4.894602980434675	1
175	624	148	6.728160412453529	1
176	625	196	7.686225333024652	1
177	626	577	7.073650677799822	1
178	627	630	2.6244832627283925	67
179	627	631	2.6244832627283925	35
180	608	362	9.197262921628846	1
181	612	291	8.860327545559679	1
182	620	209	12.611697073890987	1
183	628	23	3.337247509683869	1
184	629	419	5.333712349152409	1
185	623	386	1.554568141915956	1
186	614	130	5.044973871197503	1
187	624	74	6.730795270760347	1
188	625	395	7.962676151504665	1
189	626	538	7.364218895016333	1
190	630	445	2.6244832627283925	1
191	631	429	2.6880755065527664	1
192	608	433	9.34440977154486	1
193	612	119	8.930440696802007	1
194	620	430	12.783390514376292	1
195	628	195	3.5919719477038297	1
196	628	127	3.5919719477038297	1
197	628	575	3.5919719477038297	1
198	628	407	3.5919719477038297	1
199	629	166	5.526554755091948	1
200	623	603	1.5670849702892593	1
201	614	464	5.062376848376754	1
202	624	102	7.645690458374403	1
203	625	174	8.110421729978642	1
204	626	232	7.671225158781966	1
205	630	255	2.7666346913224484	1
206	631	467	2.7079663460087486	1
207	608	231	9.392605916810837	1
208	612	322	10.922214721977491	1
209	620	95	12.856519042216565	1
210	629	28	5.551397715303929	1
211	623	120	1.5884975395036043	1
212	614	252	5.084005847471087	1
213	624	220	7.69429622205244	1
214	625	525	8.124668386188809	1
215	626	307	8.250475619358378	1
216	630	338	3.148741458665246	1
217	631	325	2.7909677495871663	1
218	608	208	9.426681966960517	1
219	612	21	11.952922170480974	1
