	Center_D2_CLPP_KO_01.txt	Center_D2_CLPP_KO_02.txt
Q5BLJ9	34.8	35.2
Q8CIM3	13.2	14.14
Q5F285	18.8	19.05
Q4FJQ0	25.01	42.2
Q9CQF0	7.2	8.8
Q9D6T9	55.2	56.8
P61021	5.2	8.2
UPI0000605370	5.2	6.2
Q9D0F9	29.14	31.2
Q9CQA6	5.8	4.8
UPI0003D72A18	14.8	15.2
Q9EQ80	22.8	23.83
O09161	4.2	5.2
Q3TBW2	22.2	23.8
Q544Z9	10.2	16.12
Q3UC02	16.8	6.15
P00920	32.85	34.8
Q9CQ40	52.2	55.18
Q58EV5	6.2	5.2
Q9JJL8	16.1	17.8
UPI00000E66DF	52.17	55.8
Q499X9	10.2	10.8
Q9CR13	8.08	8.2
Q921I1	28.8	29.93
Q9Z2Q5	17.2	17.8
Q3UN90	3.8	3.2
A2AMM0	19.13	19.2
Q545F8	6.2	7.2
Q9CWE0	16.83	19.2
Q3U2A8	18.81	19.81
Q3UGR5	9.2	10.2
Q9R0Y5	3.88	4.07
Q9DBG6	10.2	10.14
P19324	9.2	9.2
O09174	19.15	18.8
Q8VDT9	51.8	55.07
Q61735	18.2	18.2
P26043	25.2	28.2
Q9CPV4	6.1	6.9
Q99M87	8.2	9.8
Q8BHN3	42.2	42.2
Q5SS40	5.2	5.14
Q6PHN9	11.2	11.8
UPI0003D74E98	9.2	9.16
UPI0005AB98A2	9.91	14.89
Q9R069	26.8	26.89
Q99PT1	6.2	43.08
Q9D7N3	34.2	23.14
P50637	13.15	11.2
Q921J2	24.2	24.2
Q80Y14	3.8	3.8
Q8VCM7	35.2	36.2
UPI0003D760CC	57.94	55.8
Q91W97	23.99	24.8
Q9D1Z8	34.15	34.2
Q9DBF1	28.8	30.2
P62737	15.18	15.2
P05201	35.2	36.02
Q564E2	19.2	20.14
UPI0000021420	8.8	9.2
UPI0003D71AA0	25.07	56.2
Q3UUI3	9.8	9.06
Q04447	37.8	38.2
UPI00000009E3	3.8	4.2
Q922R8	11.91	16.2
Q8R3K3	7.86	8.2
P01027	33.8	35.2
P60904	13.2	12.2
Q99N91	51.2	55.06
Q4VAE3	13.8	14.8
Q5M9K1	8.2	9.2
P62835	3.2	4.2
Q6PE15	10.98	10.98
Q9JHU4	7.2	7.99
UPI0003D6F0D3	19.96	20.8
UPI0005ABAD5A	12.17	12.94
Q9D1R1	4.2	5.2
P99026	46.8	48.93
Q9CPW2	25.2	26.8
Q8CBU4	36.81	28.8
Q91VN4	37.06	38.8
Q921H8	7.2	7.81
Q4KL81	4.98	5.0
Q9CQF9	16.96	16.2
Q9QX60	7.2	8.04
UPI0003D71779	14.8	13.8
P61922	33.8	34.87
Q9WV85	38.8	39.8
Q545F4	5.8	7.2
UPI0003D77E62	20.2	20.8
P56213	11.2	12.8
Q8BXN7	3.84	4.8
Q9CQS4	13.2	12.02
Q9CXJ1	10.2	11.8
Q9CZ08	15.86	17.2
UPI0005ABB36D	19.02	18.2
Q542P4	50.12	55.8
Q99N93	6.2	6.8
E9PV24	35.2	36.8
Q9JLT4	25.2	26.8
Q60668	4.2	5.2
Q3U4W5	50.8	52.14
Q8BH78	18.92	15.88
Q9WVE4	4.2	4.86
Q62446	4.01	31.2
Q059G7	4.2	5.2
Q9CPX4	34.8	38.2
