ComplexID	E1	E2	E1E2	complexName	Class
9	P30561	P53762	P30561P53762	6S-nuclear aryl hydrocarbon (Ah) receptor ligand-activated complex	1
14	P59438	Q8BLY7	P59438Q8BLY7	BLOC-2 (biogenesis of lysosome-related organelles complex 2)	1
14	P59438	Q91VB4	P59438Q91VB4	BLOC-2 (biogenesis of lysosome-related organelles complex 2)	1
14	Q8BLY7	Q91VB4	Q8BLY7Q91VB4	BLOC-2 (biogenesis of lysosome-related organelles complex 2)	1
24	O55102	Q5U5M8	O55102Q5U5M8	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	1
24	O55102	Q8R015	O55102Q8R015	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	1
24	O55102	Q8VED2	O55102Q8VED2	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	1
24	O55102	Q91WZ8	O55102Q91WZ8	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	1
24	O55102	Q9CWG9	O55102Q9CWG9	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	1
24	O55102	Q9R0C0	O55102Q9R0C0	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	1
24	O55102	Q9Z266	O55102Q9Z266	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	1
24	Q5U5M8	Q8R015	Q5U5M8Q8R015	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	1
24	Q5U5M8	Q8VED2	Q5U5M8Q8VED2	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	1
24	Q5U5M8	Q91WZ8	Q5U5M8Q91WZ8	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	1
24	Q5U5M8	Q9CWG9	Q5U5M8Q9CWG9	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	1
24	Q5U5M8	Q9R0C0	Q5U5M8Q9R0C0	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	1
24	Q5U5M8	Q9Z266	Q5U5M8Q9Z266	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	1
24	Q8R015	Q8VED2	Q8R015Q8VED2	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	1
24	Q8R015	Q91WZ8	Q8R015Q91WZ8	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	1
24	Q8R015	Q9CWG9	Q8R015Q9CWG9	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	1
24	Q8R015	Q9R0C0	Q8R015Q9R0C0	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	1
24	Q8R015	Q9Z266	Q8R015Q9Z266	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	1
24	Q8VED2	Q91WZ8	Q8VED2Q91WZ8	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	1
24	Q8VED2	Q9CWG9	Q8VED2Q9CWG9	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	1
24	Q8VED2	Q9R0C0	Q8VED2Q9R0C0	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	1
24	Q8VED2	Q9Z266	Q8VED2Q9Z266	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	1
24	Q91WZ8	Q9CWG9	Q91WZ8Q9CWG9	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	1
24	Q91WZ8	Q9R0C0	Q91WZ8Q9R0C0	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	1
24	Q91WZ8	Q9Z266	Q91WZ8Q9Z266	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	1
24	Q9CWG9	Q9R0C0	Q9CWG9Q9R0C0	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	1
24	Q9CWG9	Q9Z266	Q9CWG9Q9Z266	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	1
