Uniprot ID	F1.interphase.intensity.mean	F2.interphase.intensity.mean	F3.interphase.intensity.mean	F4.interphase.intensity.mean	F5.interphase.intensity.mean	F6.interphase.intensity.mean	F7.interphase.intensity.mean	F8.interphase.intensity.mean	F9.interphase.intensity.mean	F10.interphase.intensity.mean	F11.interphase.intensity.mean	F12.interphase.intensity.mean	F13.interphase.intensity.mean	F14.interphase.intensity.mean	F15.interphase.intensity.mean	F16.interphase.intensity.mean	F17.interphase.intensity.mean	F18.interphase.intensity.mean	F19.interphase.intensity.mean	F20.interphase.intensity.mean	F21.interphase.intensity.mean	F22.interphase.intensity.mean	F23.interphase.intensity.mean	F24.interphase.intensity.mean	F25.interphase.intensity.mean	F26.interphase.intensity.mean	F27.interphase.intensity.mean	F28.interphase.intensity.mean	F29.interphase.intensity.mean	F30.interphase.intensity.mean	F31.interphase.intensity.mean	F32.interphase.intensity.mean	F33.interphase.intensity.mean	F34.interphase.intensity.mean	F35.interphase.intensity.mean	F36.interphase.intensity.mean	F37.interphase.intensity.mean	F38.interphase.intensity.mean	F39.interphase.intensity.mean	F40.interphase.intensity.mean	F41.interphase.intensity.mean	F42.interphase.intensity.mean	F43.interphase.intensity.mean	F44.interphase.intensity.mean	F45.interphase.intensity.mean	F46.interphase.intensity.mean	F47.interphase.intensity.mean	F48.interphase.intensity.mean	F49.interphase.intensity.mean	F50.interphase.intensity.mean	F51.interphase.intensity.mean	F52.interphase.intensity.mean	F53.interphase.intensity.mean	F54.interphase.intensity.mean	F55.interphase.intensity.mean	F56.interphase.intensity.mean	F57.interphase.intensity.mean	F58.interphase.intensity.mean	F59.interphase.intensity.mean	F60.interphase.intensity.mean	F61.interphase.intensity.mean	F62.interphase.intensity.mean	F63.interphase.intensity.mean	F64.interphase.intensity.mean	F65.interphase.intensity.mean
A0AVT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43031.44514	250456.212	855510.1126	1672045.136	1691122.144	983444.7357	337245.7643	148749.5066	82929.10639	54286.5878	39084.56168	20042.57925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0FGR8	95258.52721	206067.4002	309526.2499	345929.5817	330429.6199	344404.061	358155.4344	300382.5785	271291.5373	275818.1943	268212.8866	256833.2583	240517.0476	202153.548	170986.5798	167366.0369	155207.9544	137566.3803	118257.2008	102975.4269	101415.4121	100250.7106	86262.29241	76319.31157	81294.2483	37681.07446	31714.76452	17444.24382	19694.80694	22809.20514	20606.9635	29299.14196	20817.99254	15617.81462	8281.565252	5614.639738	0	0	0	0	0	0	0	0	12775.71706	12455.71762	9004.874896	0	0	0	0	0	0	0	0	0	0	0	0	4607.573627	4920.252446	5348.000561	12274.62852	22700.33574	17346.65606
A0MZ66	0	0	0	0	25736.49819	33029.63978	34781.48327	42152.03756	48643.41373	73477.59881	112280.7797	114925.0586	96908.07858	91657.68757	119647.8458	123763.5615	131884.6571	126076.4708	142460.5298	183744.4211	241621.6916	337005.815	463986.407	513484.5478	403893.0806	281259.3392	127501.5386	78776.75919	58822.74084	39768.84657	16432.80407	12564.36924	9945.469102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0PJW6	29855.47893	46742.47611	71103.21195	88186.90588	87847.76482	101354.1266	106697.7519	129290.182	119487.1031	129971.3213	134699.1616	110831.3518	108570.537	106817.1698	124017.4602	160277.0811	142265.7741	128771.9572	105395.507	95423.0426	89944.78583	95028.40933	49552.37123	33918.77891	16791.94562	16312.33951	14752.11398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1L0T0	39299.41644	83972.98134	127288.8233	176648.739	206131.5294	230364.6345	260913.6587	248510.184	227448.1103	241667.1811	236418.8418	233330.6944	219257.8101	200333.9654	180099.3111	164935.3069	145508.765	113553.449	104401.8015	92695.4463	88816.78822	78989.73972	67559.85983	57999.20378	46544.39816	43027.36815	30802.79019	25465.83811	24861.67512	27403.8935	20042.98959	19846.98796	10117.80971	7264.267774	3353.877526	2215.17989	2948.445589	3375.115978	3752.840879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	990.2025137	1223.64728	2446.685017	4247.69399	7713.306032	21576.02824	46701.31728	48374.42128
A1X283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6877.966564	6571.421494	26115.91076	26281.39074	43565.9354	49065.25757	79694.28223	105900.5503	106458.9682	105872.0097	225472.3623	453423.8563	566785.3309	420737.7781	234751.7614	157302.4513	139534.5037	121992.9146	119740.6528	110853.5577	85893.95907	60776.32981	47888.51104	40044.97382	28357.96466	27438.26523	45606.20689	70567.12261	120198.22	80227.95742	46781.11975	8414.829638	6094.35263	6938.507159	6108.139338	0	0	0	0	0	0	0	0	0	2486.929832	2113.931791	2070.810799
A2RRP1	30324.79708	69620.57427	94259.08885	111254.9322	102927.862	97548.42127	92086.80336	56878.75355	30960.93114	22983.97738	7481.760584	4001.476602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2RU67	10267.47293	21954.70878	27417.08532	37803.86296	46683.95467	48599.16702	50578.87854	42776.90392	41038.00683	42438.52993	32638.20967	28220.36871	22271.32721	20138.06901	17833.8823	17084.82267	15883.03007	12945.77365	11558.05268	3374.30378	4044.844006	1881.738354	2126.701563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2RUC4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15333.3079	97120.52948	204885.6991	251547.2265	133282.5457	49679.06632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2RUS2	0	16009.85189	15420.37354	16027.02011	0	0	0	0	0	0	0	0	0	17882.14307	17056.77613	16716.19037	0	0	0	0	0	0	0	0	0	0	0	0	32943.47822	53521.9991	72117.82222	79158.51595	72354.1078	45616.4698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
