ComplexID	E1	E2	E1E2	complexName	Class
1	P41182	P56524	P41182P56524	BCL6-HDAC4 complex	1
2	P41182	Q9UQL6	P41182Q9UQL6	BCL6-HDAC5 complex	1
3	P41182	Q8WUI4	P41182Q8WUI4	BCL6-HDAC7 complex	1
4	Q09472	Q92793	Q09472Q92793	Multisubunit ACTR coactivator complex	1
4	Q09472	Q92831	Q09472Q92831	Multisubunit ACTR coactivator complex	1
4	Q09472	Q9Y6Q9	Q09472Q9Y6Q9	Multisubunit ACTR coactivator complex	1
4	Q92793	Q92831	Q92793Q92831	Multisubunit ACTR coactivator complex	1
4	Q92793	Q9Y6Q9	Q92793Q9Y6Q9	Multisubunit ACTR coactivator complex	1
4	Q92831	Q9Y6Q9	Q92831Q9Y6Q9	Multisubunit ACTR coactivator complex	1
10	O95347	Q15003	O95347Q15003	Condensin I complex	1
10	O95347	Q15021	O95347Q15021	Condensin I complex	1
10	O95347	Q9BPX3	O95347Q9BPX3	Condensin I complex	1
10	O95347	Q9NTJ3	O95347Q9NTJ3	Condensin I complex	1
10	Q15003	Q15021	Q15003Q15021	Condensin I complex	1
10	Q15003	Q9BPX3	Q15003Q9BPX3	Condensin I complex	1
10	Q15003	Q9NTJ3	Q15003Q9NTJ3	Condensin I complex	1
10	Q15021	Q9BPX3	Q15021Q9BPX3	Condensin I complex	1
10	Q15021	Q9NTJ3	Q15021Q9NTJ3	Condensin I complex	1
10	Q9BPX3	Q9NTJ3	Q9BPX3Q9NTJ3	Condensin I complex	1
11	Q92902	Q9NQG7	Q92902Q9NQG7	BLOC-3 (biogenesis of lysosome-related organelles complex 3)	1
12	Q86YV9	Q969F9	Q86YV9Q969F9	BLOC-2 (biogenesis of lysosome-related organelles complex 2)	1
12	Q86YV9	Q9UPZ3	Q86YV9Q9UPZ3	BLOC-2 (biogenesis of lysosome-related organelles complex 2)	1
12	Q969F9	Q9UPZ3	Q969F9Q9UPZ3	BLOC-2 (biogenesis of lysosome-related organelles complex 2)	1
13	Q92903	Q96NY9	Q92903Q96NY9	MUS81-CDS1 complex	1
15	O15379	O60907	O15379O60907	NCOR complex	1
15	O15379	O75376	O15379O75376	NCOR complex	1
15	O15379	Q13227	O15379Q13227	NCOR complex	1
15	O15379	Q92828	O15379Q92828	NCOR complex	1
15	O15379	Q9BZK7	O15379Q9BZK7	NCOR complex	1
15	O60907	O75376	O60907O75376	NCOR complex	1
15	O60907	Q13227	O60907Q13227	NCOR complex	1
15	O60907	Q92828	O60907Q92828	NCOR complex	1
15	O60907	Q9BZK7	O60907Q9BZK7	NCOR complex	1
