Uniprot ID	iBAQ A_CLPP_WT_01_01	iBAQ A_CLPP_WT_01_02	iBAQ A_CLPP_WT_01_03	iBAQ A_CLPP_WT_01_04	iBAQ A_CLPP_WT_01_05	iBAQ A_CLPP_WT_01_06	iBAQ A_CLPP_WT_01_07	iBAQ A_CLPP_WT_01_08	iBAQ A_CLPP_WT_01_09	iBAQ A_CLPP_WT_01_10	iBAQ A_CLPP_WT_01_11	iBAQ A_CLPP_WT_01_12	iBAQ A_CLPP_WT_01_13	iBAQ A_CLPP_WT_01_14	iBAQ A_CLPP_WT_01_15	iBAQ A_CLPP_WT_01_16	iBAQ A_CLPP_WT_01_17	iBAQ A_CLPP_WT_01_18	iBAQ A_CLPP_WT_01_19	iBAQ A_CLPP_WT_01_20	iBAQ A_CLPP_WT_01_21	iBAQ A_CLPP_WT_01_22	iBAQ A_CLPP_WT_01_23	iBAQ A_CLPP_WT_01_24	iBAQ A_CLPP_WT_01_25	iBAQ A_CLPP_WT_01_26	iBAQ A_CLPP_WT_01_27	iBAQ A_CLPP_WT_01_28	iBAQ A_CLPP_WT_01_29	iBAQ A_CLPP_WT_01_30	iBAQ A_CLPP_WT_01_31	iBAQ A_CLPP_WT_01_32	iBAQ A_CLPP_WT_01_33	iBAQ A_CLPP_WT_01_34	iBAQ A_CLPP_WT_01_35	iBAQ A_CLPP_WT_01_36	iBAQ A_CLPP_WT_01_37	iBAQ A_CLPP_WT_01_38	iBAQ A_CLPP_WT_01_39	iBAQ A_CLPP_WT_01_40	iBAQ A_CLPP_WT_01_41	iBAQ A_CLPP_WT_01_42	iBAQ A_CLPP_WT_01_43	iBAQ A_CLPP_WT_01_44	iBAQ A_CLPP_WT_01_45	iBAQ A_CLPP_WT_01_46	iBAQ A_CLPP_WT_01_47	iBAQ A_CLPP_WT_01_48	iBAQ A_CLPP_WT_01_49	iBAQ A_CLPP_WT_01_50	iBAQ A_CLPP_WT_01_51	iBAQ A_CLPP_WT_01_52	iBAQ A_CLPP_WT_01_53	iBAQ A_CLPP_WT_01_54	iBAQ A_CLPP_WT_01_55	iBAQ A_CLPP_WT_01_56	iBAQ A_CLPP_WT_01_57	iBAQ A_CLPP_WT_01_58	iBAQ A_CLPP_WT_01_59	iBAQ A_CLPP_WT_01_60
Q99L45	0.098380335	0.354972146	0.401331136	0.861914581	0.75795139	0.392670614	0.912101671	0.853481805	0.165114103	0.650761033	0.603426161	0.937391482	0.012937621	0.809169441	0.407792788	0.415339293	0.640926214	0.340050602	0.50711448	0.414493985	0.773763983	0.413207597	0.844151796	0.070877728	0.679917092	0.984974851	0.424054324	0.643989768	0.59824112	0.131333765	0.003456137	0.62166162	0.811119949	0.775136855	0.806677222	0.485780006	0.829094921	0.04909176	0.881566159	0.03473466	0.079980863	0.722485004	0.111835455	0.308380749	0.994975241	0.363649074	0.568054619	0.239102919	0.669513317	0.109591699	0.737985607	0.746070696	0.34528482	0.670414997	0.517846887	0.365351044	0.142787471	0.912187831	0.612793948	0.250724764
Q62351	0.708260094	0.317668583	0.462449352	0.35664262	0.55205925	0.056678649	0.2270645	0.794409195	0.776551456	0.802263716	0.227699449	0.958341604	0.388821768	0.187373857	0.357871773	0.651785314	0.839642439	0.863682663	0.902670791	0.816956903	0.908558352	0.152796643	0.795072875	0.797804478	0.022415224	0.262964944	0.737384316	0.964103528	0.858346912	0.674693751	0.317145536	0.715476161	0.509562644	0.610403758	0.94611604	0.056535751	0.673261763	0.675266655	0.060372044	0.324348506	0.510720486	0.255500209	0.787462555	0.7138199	0.436146646	0.753857573	0.142301178	0.299960754	0.320569206	0.080262722	0.937199785	0.117076009	0.16530117	0.248825842	0.350705157	0.638879357	0.204135939	0.476917278	0.171835273	0.946209982
Q9EP89	0.285950247	0.949280914	0.669183759	0.23247455	0.297909088	0.607089805	0.413654242	0.785413959	0.075915434	0.906280474	0.41915101	0.38319218	0.145918955	0.682972833	0.282153275	0.108739753	0.143431839	0.658671997	0.7355657	0.336017722	0.757617495	0.654310912	0.221771868	0.034783489	0.129649578	0.743538158	0.31868504	0.45491565	0.873367163	0.130275958	0.403522596	0.722199149	0.772875162	0.866293876	0.376518299	0.152198012	0.172285279	0.924434267	0.863055574	0.153763022	0.941972686	0.944596541	0.496095683	0.824836947	0.429100618	0.420718796	0.556659604	0.623668189	0.134336753	0.679233189	0.739644022	0.142958672	0.847826249	0.031245943	0.427558175	0.47123495	0.9306622	0.985816552	0.439105049	0.737974979
O70456	0.767140038	0.809933506	0.624207498	0.123769298	0.382036969	0.410289192	0.524369039	0.990642899	0.456463111	0.348224608	0.156119898	0.457773187	0.639708956	0.7706539	0.722421376	0.982929517	0.651224893	0.941356025	0.551281812	0.018725876	0.316482276	0.932456352	0.89375222	0.884920421	0.00543846	0.926455678	0.016997095	0.576174632	0.184723863	0.801033977	0.96639308	0.001977547	0.309407362	0.374390794	0.099388303	0.579559084	0.723855078	0.959301134	0.824528885	0.907906071	0.93114552	0.20193215	0.818964578	0.389723152	0.007733358	0.277601308	0.137453008	0.120610617	0.639419895	0.744581304	0.813463431	0.745978294	0.91554975	0.340736617	0.158974757	0.893553033	0.538275504	0.402134148	0.290690558	0.928227843
Q3TLP5	0.074124868	0.816791048	0.05823041	0.088244463	0.876300282	0.058752496	0.94516803	0.243667976	0.764369749	0.95987093	0.721957505	0.177720231	0.6225951	0.114865045	0.672852932	0.931021375	0.912083226	0.658730149	0.836871345	0.242365168	0.963285927	0.640510499	0.149096568	0.11957813	0.625075242	0.193204179	0.608620611	0.783845055	0.371545202	0.398282469	0.153557944	0.86644116	0.775843667	0.06437919	0.54769032	0.89474282	0.693484746	0.203502873	0.689031313	0.34797149	0.267729392	0.287772132	0.75462007	0.323690709	0.617981692	0.038363172	0.187145365	0.246629712	0.678543621	0.015341719	0.65502805	0.189702082	0.032176947	0.937987717	0.96534828	0.469171718	0.775174819	0.410063353	0.367801995	0.950336618
UPI00000259BB	0.101274144	0.684326572	0.709338943	0.162494331	0.189812496	0.57925989	0.141724377	0.745372071	0.042731811	0.173923521	0.844473196	0.534105634	0.122957456	0.101850576	0.919437112	0.685339178	0.997652217	0.721174314	0.107995734	0.884763806	0.06577473	0.655029265	0.678370802	0.942621583	0.378767973	0.31938059	0.933913055	0.320694808	0.627853624	0.474076308	0.913220157	0.328172463	0.819337293	0.77019917	0.051680882	0.362556322	0.538294883	0.700670235	0.824444427	0.830968272	0.237708793	0.283525818	0.462640923	0.263780251	0.830318808	0.819445979	0.589565379	0.129605464	0.419429867	0.14066978	0.036928681	0.025504247	0.921155693	0.34433843	0.553806646	0.088496113	0.804415816	0.696042216	0.862797885	0.589708587
UPI00001EF87C	0.686972109	0.164369151	0.883031213	0.524393365	0.887282586	0.973186292	0.438784548	0.807632711	0.750826644	0.553634139	0.845148342	0.859618901	0.221734538	0.640183274	0.592412187	0.686170726	0.420853407	0.95121356	0.484494108	0.315302574	0.896622228	0.888003333	0.609652986	0.462101508	0.418999562	0.036654569	0.955845804	0.684477728	0.768049865	0.700497706	0.45089484	0.66588293	0.053476475	0.303208516	0.392665113	0.037670867	0.253691615	0.315893341	0.83214984	0.09736709	0.963684776	0.620209639	0.635859776	0.907540342	0.939671692	0.040707005	0.332668207	0.389738115	0.213369554	0.364994231	0.296585621	0.572205011	0.441659446	0.04656721	0.118086947	0.220353557	0.204547325	0.428539912	0.489639938	0.581049623
Q9CQX8	0.237232253	0.345638898	0.949875279	0.896695773	0.531856198	0.232773023	0.447607054	0.397869349	0.71100442	0.581229738	0.841087363	0.528829463	0.220391726	0.010986738	0.461749975	0.223883712	0.092125339	0.280700587	0.844719851	0.717593766	0.568458452	0.467294093	0.132107684	0.295691979	0.57951789	0.645504754	0.820126032	0.510384057	0.887467453	0.135375278	0.061824652	0.166589543	0.853670287	0.99501593	0.38417335	0.726244743	0.78428126	0.240183918	0.29521212	0.171627719	0.724273905	0.169798105	0.206034184	0.627483254	0.577962744	0.821254006	0.597750477	0.127015373	0.609175479	0.260786959	0.038844706	0.68123581	0.142749603	0.966436435	0.457999984	0.168094264	0.332450745	0.846435277	0.915794455	0.194081146
UPI0003D781E1	0.319514078	0.148293417	0.249382354	0.866339253	0.898786966	0.815954637	0.631872094	0.892728873	0.803560012	0.870728937	0.434213053	0.287049224	0.650726522	0.578433493	0.141837286	0.837445589	0.468155418	0.659334744	0.750457797	0.071786131	0.953146031	0.235504632	0.908436697	0.243949105	0.883996169	0.110404866	0.052137604	0.445996345	0.723634612	0.330030599	0.163687752	0.617404344	0.500904204	0.245981488	0.143178959	0.499817863	0.453244329	0.581137849	0.496743481	0.114200695	0.743650742	0.23454075	0.5906977	0.680487618	0.505080857	0.827544041	0.663390518	0.412652337	0.974179677	0.606851228	0.693352986	0.338298581	0.677564142	0.443495323	0.798632964	0.032002319	0.998504174	0.760899366	0.016735268	0.0248797
Q9D6T9	0.808437393	0.605730268	0.995698804	0.659461409	0.089978305	0.186853662	0.332611412	0.213931596	0.486085581	0.713672385	0.495590067	0.49161375	0.477650228	0.878718538	0.918872609	0.450130007	0.890698	0.879894807	0.519906914	0.512274275	0.951994336	0.274766596	0.669849599	0.73789737	0.741599703	0.737322923	0.385878851	0.637841981	0.146386265	0.077527658	0.14619903	0.418352612	0.153541286	0.732575297	0.120992854	0.337274898	0.59279798	0.958152066	0.743856793	0.26090851	0.944355991	0.208380594	0.77573718	0.257159041	0.805600481	0.539882937	0.648091704	0.764664982	0.170103683	0.40135139	0.649982044	0.512099441	0.310064967	0.315440417	0.169184471	0.216936292	0.652348607	0.375649145	0.645489472	0.327313651
